topology,minority_ratio,position_config,model_condition,n_agents,cr_delta1,cr_delta2,cr_delta3
chain,0.1,0,prompt_induced,450,0.12666666666666668,0.042222222222222223,0.011111111111111112
chain,0.1,1,prompt_induced,450,0.11333333333333333,0.04,0.013333333333333334
chain,0.1,2,prompt_induced,450,0.12,0.04,0.011111111111111112
chain,0.2,0,prompt_induced,400,0.1325,0.04,0.0075
chain,0.2,1,prompt_induced,400,0.1125,0.04,0.0125
chain,0.2,2,prompt_induced,400,0.12,0.04,0.0075
chain,0.3,0,prompt_induced,350,0.13142857142857142,0.037142857142857144,0.014285714285714285
chain,0.3,1,prompt_induced,350,0.12,0.04285714285714286,0.011428571428571429
chain,0.3,2,prompt_induced,350,0.11142857142857143,0.037142857142857144,0.011428571428571429
circle,0.1,0,prompt_induced,450,0.14888888888888888,0.042222222222222223,0.024444444444444446
circle,0.2,0,prompt_induced,400,0.1325,0.04,0.0175
circle,0.3,0,prompt_induced,350,0.13142857142857142,0.04285714285714286,0.017142857142857144
fc,0.1,0,prompt_induced,450,0.16,0.044444444444444446,0.03333333333333333
fc,0.2,0,prompt_induced,400,0.16,0.0475,0.0225
fc,0.3,0,prompt_induced,350,0.18,0.04,0.04
star,0.1,0,prompt_induced,450,0.09555555555555556,0.04,0.0044444444444444444
star,0.1,1,prompt_induced,450,0.12,0.04,0.04
star,0.2,0,prompt_induced,400,0.155,0.04,0.025
star,0.2,1,prompt_induced,400,0.065,0.04,0.02
star,0.3,0,prompt_induced,350,0.12857142857142856,0.04285714285714286,0.03428571428571429
star,0.3,1,prompt_induced,350,0.08285714285714285,0.04,0.04
