topology,minority_ratio,position_config,model_condition,mean_delta_cc,std_delta_cc,n
chain,0.1,0,prompt_induced,0.008888888888888889,0.5032437987572767,450
chain,0.1,1,prompt_induced,-0.08888888888888889,0.6436777047982328,450
chain,0.1,2,prompt_induced,-0.14222222222222222,0.5942273746971829,450
chain,0.2,0,prompt_induced,0.0,0.5787918451395113,400
chain,0.2,1,prompt_induced,-0.13,0.6504613747179766,400
chain,0.2,2,prompt_induced,-0.1475,0.5964425789629711,400
chain,0.3,0,prompt_induced,0.017142857142857144,0.5395689889880172,350
chain,0.3,1,prompt_induced,-0.2,0.6279217421667403,350
chain,0.3,2,prompt_induced,-0.14857142857142858,0.6552519378382763,350
circle,0.1,0,prompt_induced,0.15777777777777777,0.4848774822978545,450
circle,0.2,0,prompt_induced,0.1425,0.5587430089048095,400
circle,0.3,0,prompt_induced,0.14285714285714285,0.4981598792617913,350
fc,0.1,0,prompt_induced,0.4022222222222222,0.4948575053662255,450
fc,0.2,0,prompt_induced,0.365,0.496764531745172,400
fc,0.3,0,prompt_induced,0.32857142857142857,0.48760137616788607,350
star,0.1,0,prompt_induced,0.10666666666666667,0.5674112754920857,450
star,0.1,1,prompt_induced,0.06,0.58,450
star,0.2,0,prompt_induced,0.1825,0.6318178139305666,400
star,0.2,1,prompt_induced,-0.02,0.8364209466530592,400
star,0.3,0,prompt_induced,0.13142857142857142,0.48389575534490514,350
star,0.3,1,prompt_induced,0.12,0.5153639490690051,350
