topology,minority_ratio,position_config,model_condition,mean_semantic_drift,mean_mirroring,n
chain,0.1,0,prompt_induced,0.3430609279208713,0.6532568775282965,450
chain,0.1,1,prompt_induced,0.3384893849160936,0.6686521750026279,450
chain,0.1,2,prompt_induced,0.34630981021457247,0.6651243750254313,450
chain,0.2,0,prompt_induced,0.3506381422281265,0.6482295975089073,400
chain,0.2,1,prompt_induced,0.3434085404872894,0.6653013251721859,400
chain,0.2,2,prompt_induced,0.33975408986210826,0.6695241209864616,400
chain,0.3,0,prompt_induced,0.3452207587446485,0.6448190001079014,350
chain,0.3,1,prompt_induced,0.34237780366625103,0.6743382704257965,350
chain,0.3,2,prompt_induced,0.3419932925701141,0.6528223553725652,350
circle,0.1,0,prompt_induced,0.31689149843321907,0.711865935060713,450
circle,0.2,0,prompt_induced,0.3298540312051773,0.6693442119657993,400
circle,0.3,0,prompt_induced,0.3194746746335711,0.6921732992785318,350
fc,0.1,0,prompt_induced,0.29711129215028553,0.795873205529319,450
fc,0.2,0,prompt_induced,0.3016935540735722,0.7730908639729023,400
fc,0.3,0,prompt_induced,0.32127018077032904,0.7630464397157941,350
star,0.1,0,prompt_induced,0.33274857229656646,0.7062176141473983,450
star,0.1,1,prompt_induced,0.33570775164498223,0.6907488572597503,450
star,0.2,0,prompt_induced,0.3272941137850285,0.720857123285532,400
star,0.2,1,prompt_induced,0.3555544590950012,0.687694002687931,400
star,0.3,0,prompt_induced,0.3354225879056113,0.6912548400674547,350
star,0.3,1,prompt_induced,0.3416609743663243,0.6558237995420183,350
