topology,minority_ratio,position_config,model_condition,n_agents,cr_delta1,cr_delta2,cr_delta3
chain,0.1,0,model_induced,450,0.13333333333333333,0.042222222222222223,0.0044444444444444444
chain,0.1,1,model_induced,450,0.10666666666666667,0.03777777777777778,0.013333333333333334
chain,0.1,2,model_induced,450,0.1111111111111111,0.03777777777777778,0.013333333333333334
chain,0.2,0,model_induced,400,0.1175,0.0425,0.01
chain,0.2,1,model_induced,400,0.1,0.0425,0.0025
chain,0.2,2,model_induced,400,0.1075,0.04,0.01
chain,0.3,0,model_induced,350,0.12571428571428572,0.04285714285714286,0.002857142857142857
chain,0.3,1,model_induced,350,0.09428571428571429,0.04,0.008571428571428572
chain,0.3,2,model_induced,350,0.11428571428571428,0.04,0.011428571428571429
circle,0.1,0,model_induced,450,0.1511111111111111,0.042222222222222223,0.013333333333333334
circle,0.2,0,model_induced,400,0.14,0.04,0.01
circle,0.3,0,model_induced,350,0.12857142857142856,0.04285714285714286,0.011428571428571429
fc,0.1,0,model_induced,450,0.16444444444444445,0.042222222222222223,0.0044444444444444444
fc,0.2,0,model_induced,400,0.1575,0.04,0.0375
fc,0.3,0,model_induced,350,0.18285714285714286,0.04285714285714286,0.02857142857142857
star,0.1,0,model_induced,450,0.11555555555555555,0.04,0.0022222222222222222
star,0.1,1,model_induced,450,0.10222222222222223,0.02666666666666667,0.0
star,0.2,0,model_induced,400,0.125,0.0575,0.0175
star,0.2,1,model_induced,400,0.12,0.04,0.0
star,0.3,0,model_induced,350,0.15142857142857144,0.04285714285714286,0.002857142857142857
star,0.3,1,model_induced,350,0.1,0.04,0.0
