topology,minority_ratio,position_config,model_condition,mean_delta_cc,std_delta_cc,n
chain,0.1,0,model_induced,-0.008888888888888889,0.5496755496440998,450
chain,0.1,1,model_induced,-0.12222222222222222,0.5893080269411609,450
chain,0.1,2,model_induced,-0.13555555555555557,0.6013523853432566,450
chain,0.2,0,model_induced,-0.0025,0.5678853317352017,400
chain,0.2,1,model_induced,-0.1525,0.6158276950576355,400
chain,0.2,2,model_induced,-0.145,0.6236786031282459,400
chain,0.3,0,model_induced,-0.008571428571428572,0.5731474148800407,350
chain,0.3,1,model_induced,-0.17714285714285713,0.6481118573146434,350
chain,0.3,2,model_induced,-0.1742857142857143,0.6332875028172353,350
circle,0.1,0,model_induced,0.10888888888888888,0.5069833318418191,450
circle,0.2,0,model_induced,0.1425,0.531219116749388,400
circle,0.3,0,model_induced,0.12857142857142856,0.48760137616788607,350
fc,0.1,0,model_induced,0.3466666666666667,0.47590848793532653,450
fc,0.2,0,model_induced,0.3475,0.5164724097180797,400
fc,0.3,0,model_induced,0.38857142857142857,0.5268621009992915,350
star,0.1,0,model_induced,0.21777777777777776,0.5937784431133997,450
star,0.1,1,model_induced,-0.02666666666666667,0.5157087894883658,450
star,0.2,0,model_induced,0.1925,0.6127346489305138,400
star,0.2,1,model_induced,-0.0675,0.5127804110923115,400
star,0.3,0,model_induced,0.06571428571428571,0.5744278431089282,350
star,0.3,1,model_induced,-0.07142857142857142,0.5534677322231576,350
