topology,minority_ratio,position_config,model_condition,mean_rho,std_rho,n
chain,0.1,0,model_induced,1.1840892817861342,0.9543691350199984,450
chain,0.1,1,model_induced,1.2613704549099845,0.9619248639382548,450
chain,0.1,2,model_induced,1.2539657470161127,0.9383085697177711,450
chain,0.2,0,model_induced,1.1717757126881545,0.9823472774713327,400
chain,0.2,1,model_induced,1.2965607705749589,0.9952267714198211,400
chain,0.2,2,model_induced,1.3088718573854652,1.0133919317516917,400
chain,0.3,0,model_induced,1.1894622289352497,1.0126871032112348,350
chain,0.3,1,model_induced,1.3281906034906534,1.0583379835976774,350
chain,0.3,2,model_induced,1.362780520159075,1.066971112350463,350
circle,0.1,0,model_induced,1.0119720016061604,0.6489677091117603,450
circle,0.2,0,model_induced,0.9964976523089912,0.6422859330027956,400
circle,0.3,0,model_induced,1.017577249056904,0.6238337834926271,350
fc,0.1,0,model_induced,0.7439686971028946,0.23434166104800808,450
fc,0.2,0,model_induced,0.7378817424706421,0.210496510133033,400
fc,0.3,0,model_induced,0.7116260451781075,0.22234398775479264,350
star,0.1,0,model_induced,0.9675683492633956,0.5110618487973881,450
star,0.1,1,model_induced,1.2891563671393393,1.1937219448193956,450
star,0.2,0,model_induced,1.012078168090005,0.944755886499508,400
star,0.2,1,model_induced,1.2094360209149295,1.1094423482397673,400
star,0.3,0,model_induced,0.9537664677431037,0.4139726031894857,350
star,0.3,1,model_induced,1.1925770218773317,1.0689983533908487,350
