topology,minority_ratio,position_config,model_condition,n,baseline_ev_mean,baseline_ev_std,final_ev_mean,final_ev_std,shadow_ev_mean,shadow_ev_std,shift_final,shift_shadow
chain,0.1,0,model_induced,450,4.284296127958099,0.6973142777491831,5.575472257017334,0.5461864316362451,5.56109212533837,0.4659815432558534,1.2911761290592354,1.2767959973802716
chain,0.1,1,model_induced,450,4.284059069948588,0.696723692495001,5.407183567292519,0.6385852409648606,5.485641628617822,0.5093855701173315,1.1231244973439303,1.2015825586692337
chain,0.1,2,model_induced,450,4.284227629849532,0.696631150371481,5.4186143723879,0.6544071824959102,5.478847067289605,0.5186782292056484,1.1343867425383678,1.194619437440073
chain,0.2,0,model_induced,400,4.284272477949571,0.6971744589262732,5.59071990248862,0.5407012140498819,5.582929600624302,0.462798629416005,1.3064474245390487,1.2986571226747312
chain,0.2,1,model_induced,400,4.283643124656706,0.6970161930255266,5.345374054219085,0.6656738681336453,5.449927413642638,0.5416247262376502,1.061730929562379,1.1662842889859322
chain,0.2,2,model_induced,400,4.284798457319641,0.6974731908470586,5.3758105141252255,0.6723366855694304,5.453304470939043,0.5290546144524326,1.0910120568055843,1.1685060136194014
chain,0.3,0,model_induced,350,4.283402079445807,0.6974345621332597,5.592587301022616,0.5447817685208924,5.5568172932364766,0.4819669813790572,1.3091852215768087,1.2734152137906696
chain,0.3,1,model_induced,350,4.28357236730674,0.6974439278362521,5.341947908078683,0.6835542663899862,5.4522854695071725,0.537093308655665,1.0583755407719426,1.1687131022004325
chain,0.3,2,model_induced,350,4.283345976983626,0.6971947549559714,5.348157751419863,0.6931714838681612,5.435086219032222,0.5373524556575323,1.0648117744362366,1.1517402420485956
circle,0.1,0,model_induced,450,4.283474386662948,0.6974354819324716,5.793379470960653,0.40966315481890025,5.6252174484532524,0.4210597689115176,1.5099050842977055,1.3417430617903046
circle,0.2,0,model_induced,400,4.283653030349794,0.6970937324136339,5.797502559764962,0.4156784508655593,5.627510644334137,0.4220548460698021,1.5138495294151681,1.3438576139843432
circle,0.3,0,model_induced,350,4.283981366021246,0.6972868360252988,5.816273163082364,0.41007087343707027,5.626479171798517,0.43068804891728846,1.5322917970611183,1.3424978057772714
fc,0.1,0,model_induced,450,4.28467078023735,0.6965096801401333,6.140745556014069,0.3211749288451864,5.70885783139049,0.3522386133073998,1.8560747757767198,1.4241870511531403
fc,0.2,0,model_induced,400,4.284961455582432,0.6973921264363034,6.116156164050195,0.27193144891521337,5.689072459947607,0.3564376097024052,1.8311947084677627,1.4041110043651743
fc,0.3,0,model_induced,350,4.284815585660097,0.6970241701691178,6.165985300132251,0.3161511986597945,5.7274017490464475,0.4363702512140773,1.8811697144721533,1.4425861633863502
star,0.1,0,model_induced,450,4.283600304691057,0.697419721992379,5.746667836905512,0.44707083625981053,5.599249723105134,0.43204729271351705,1.4630675322144553,1.3156494184140772
star,0.1,1,model_induced,450,4.283524020147468,0.6967527636783728,5.409239250518144,0.6521239043675195,5.507555927443857,0.4860115858988933,1.1257152303706768,1.2240319072963892
star,0.2,0,model_induced,400,4.283577997243495,0.6973052642117046,5.761182724891155,0.47872708215049686,5.600781095851699,0.44950941009363066,1.4776047276476598,1.3172030986082035
star,0.2,1,model_induced,400,4.28390294707736,0.6971623445875527,5.367721298620622,0.6468483458482731,5.483472236858662,0.5272910056572985,1.083818351543262,1.1995692897813024
star,0.3,0,model_induced,350,4.2835843911881,0.6971117408382208,5.735245059934182,0.5000252648684842,5.625918312170049,0.4468949384613442,1.451660668746082,1.3423339209819494
star,0.3,1,model_induced,350,4.283532301744532,0.6974424629884581,5.343871706599689,0.5846927045892296,5.437163365083579,0.5175009731563821,1.0603394048551573,1.1536310633390476
