topology,condition,stage,n,mean,median,std,frac_A_side,frac_neutral,frac_B_side
ALL,k=0,final,2000,5.56,6.0,0.81346841698539,0.0,0.178,0.822
ALL,k=1,final,1800,5.7283333333333335,6.0,0.7050027694606547,0.0005555555555555556,0.11277777777777778,0.8866666666666667
ALL,k=2,final,1600,5.685,6.0,0.7175282428148896,0.000625,0.1175,0.881875
ALL,k=3,final,1400,5.702142857142857,6.0,0.7147949272426639,0.0,0.12,0.88
ALL,k=0,shadow,2000,5.54,6.0,0.6257761563841734,0.0005,0.04,0.9595
ALL,k=1,shadow,1800,5.566111111111111,6.0,0.5937102125121588,0.0,0.02,0.98
ALL,k=2,shadow,1600,5.553125,6.0,0.6274342838001482,0.0,0.033125,0.966875
ALL,k=3,shadow,1400,5.545,6.0,0.6219507460577576,0.0,0.03571428571428571,0.9642857142857143
chain,k=0,final,500,5.212,6.0,0.8857907487104401,0.0,0.308,0.692
chain,k=1,final,450,5.417777777777777,6.0,0.8221024946772246,0.0022222222222222222,0.20222222222222222,0.7955555555555556
chain,k=2,final,400,5.43,6.0,0.8134828737993888,0.0025,0.19,0.8075
chain,k=3,final,350,5.46,6.0,0.7884190412003129,0.0,0.18285714285714286,0.8171428571428572
chain,k=0,shadow,500,5.492,6.0,0.6377691580799404,0.0,0.056,0.944
chain,k=1,shadow,450,5.562222222222222,6.0,0.6166902421304604,0.0,0.03111111111111111,0.9688888888888889
chain,k=2,shadow,400,5.515,6.0,0.6210791804358985,0.0,0.0375,0.9625
chain,k=3,shadow,350,5.585714285714285,6.0,0.583754696461284,0.0,0.022857142857142857,0.9771428571428571
circle,k=0,final,500,5.5,6.0,0.7662730249052193,0.0,0.168,0.832
circle,k=1,final,450,5.68,6.0,0.6739175103010925,0.0,0.11555555555555555,0.8844444444444445
circle,k=2,final,400,5.6375,6.0,0.701658436422957,0.0,0.13,0.87
circle,k=3,final,350,5.674285714285714,6.0,0.7118895543675879,0.0,0.13428571428571429,0.8657142857142858
circle,k=0,shadow,500,5.534,6.0,0.6555176632354213,0.0,0.066,0.934
circle,k=1,shadow,450,5.533333333333333,6.0,0.6539242513497575,0.0,0.042222222222222223,0.9577777777777777
circle,k=2,shadow,400,5.5775,6.0,0.6519634889910965,0.0,0.04,0.96
circle,k=3,shadow,350,5.545714285714285,6.0,0.6440571870989301,0.0,0.04857142857142857,0.9514285714285714
fc,k=0,final,500,5.96,6.0,0.6157583264830987,0.0,0.06,0.94
fc,k=1,final,450,6.0088888888888885,6.0,0.5168959186769277,0.0,0.042222222222222223,0.9577777777777777
fc,k=2,final,400,5.9875,6.0,0.5459752489180052,0.0,0.045,0.955
fc,k=3,final,350,6.022857142857143,6.0,0.5129194568528029,0.0,0.04,0.96
fc,k=0,shadow,500,5.65,6.0,0.5292070674513719,0.002,0.0,0.998
fc,k=1,shadow,450,5.595555555555555,6.0,0.5551763120317972,0.0,0.0044444444444444444,0.9955555555555555
fc,k=2,shadow,400,5.61,6.0,0.6073072164381423,0.0,0.0175,0.9825
fc,k=3,shadow,350,5.56,6.0,0.5869644117238902,0.0,0.02,0.98
star,k=0,final,500,5.568,6.0,0.7839676080176028,0.0,0.176,0.824
star,k=1,final,450,5.806666666666667,6.0,0.640468926205088,0.0,0.09111111111111111,0.9088888888888889
star,k=2,final,400,5.685,6.0,0.6722386197658997,0.0,0.105,0.895
star,k=3,final,350,5.651428571428571,6.0,0.7009495927379927,0.0,0.12285714285714286,0.8771428571428571
star,k=0,shadow,500,5.484,5.0,0.6592520204390017,0.0,0.038,0.962
star,k=1,shadow,450,5.573333333333333,6.0,0.5423696255234277,0.0,0.0022222222222222222,0.9977777777777778
star,k=2,shadow,400,5.51,6.0,0.6252017218326066,0.0,0.0375,0.9625
star,k=3,shadow,350,5.488571428571428,5.0,0.6674037404472619,0.0,0.05142857142857143,0.9485714285714286
