dataset,topology,k,n_aligned_obs,pct_stance_ge6,pct_stance_eq7,delta_pctB_vs_k0
synthetic,chain,0,500,52.00,0.00,0.00
synthetic,chain,1,4050,57.01,0.02,5.01
synthetic,chain,2,3600,55.33,0.03,3.33
synthetic,chain,3,3150,55.17,0.03,3.17
synthetic,circle,0,500,66.80,0.00,0.00
synthetic,circle,1,1350,81.41,0.22,14.61
synthetic,circle,2,1200,80.67,0.08,13.87
synthetic,circle,3,1050,80.57,0.38,13.77
synthetic,star,0,500,73.60,0.80,0.00
synthetic,star,1,2700,75.93,1.33,2.33
synthetic,star,2,2400,74.50,0.33,0.90
synthetic,star,3,2100,73.29,0.19,-0.31
synthetic,fc,0,500,91.00,11.00,0.00
synthetic,fc,1,1350,95.56,9.85,4.56
synthetic,fc,2,1200,93.75,8.58,2.75
synthetic,fc,3,1050,91.90,9.52,0.90
moral_stories,chain,0,500,26.00,3.80,0.00
moral_stories,chain,1,10800,27.96,3.55,1.96
moral_stories,chain,2,9600,26.77,3.58,0.77
moral_stories,chain,3,8400,25.81,3.43,-0.19
moral_stories,circle,0,500,49.40,13.80,0.00
moral_stories,circle,1,3600,54.47,7.47,5.07
moral_stories,circle,2,3200,54.59,6.88,5.19
moral_stories,circle,3,2800,55.11,5.96,5.71
moral_stories,star,0,500,62.60,19.60,0.00
moral_stories,star,1,7200,41.69,6.12,-20.91
moral_stories,star,2,6400,37.47,4.17,-25.13
moral_stories,star,3,5600,36.52,3.75,-26.08
moral_stories,fc,0,500,76.20,44.60,0.00
moral_stories,fc,1,3600,86.53,22.64,10.33
moral_stories,fc,2,3200,85.56,20.47,9.36
moral_stories,fc,3,2800,83.11,19.96,6.91
harmbench_standard,chain,0,500,21.60,20.00,0.00
harmbench_standard,chain,1,5400,28.57,27.46,6.97
harmbench_standard,chain,2,4800,28.54,27.50,6.94
harmbench_standard,chain,3,4200,27.52,26.60,5.92
harmbench_standard,circle,0,500,62.00,55.40,0.00
harmbench_standard,circle,1,1800,68.61,61.28,6.61
harmbench_standard,circle,2,1600,68.81,61.62,6.81
harmbench_standard,circle,3,1400,67.29,59.79,5.29
harmbench_standard,star,0,500,52.60,50.40,0.00
harmbench_standard,star,1,3600,24.78,21.39,-27.82
harmbench_standard,star,2,3200,22.31,19.22,-30.29
harmbench_standard,star,3,2800,19.39,14.64,-33.21
harmbench_standard,fc,0,500,92.60,84.60,0.00
harmbench_standard,fc,1,1800,89.33,84.56,-3.27
harmbench_standard,fc,2,1600,63.94,55.19,-28.66
harmbench_standard,fc,3,1400,49.93,43.50,-42.67
harmbench_contextual,chain,0,500,26.20,21.00,0.00
harmbench_contextual,chain,1,2700,25.89,22.52,-0.31
harmbench_contextual,chain,2,2400,24.75,21.29,-1.45
harmbench_contextual,chain,3,2100,23.95,20.67,-2.25
harmbench_contextual,circle,0,500,53.00,44.60,0.00
harmbench_contextual,circle,1,900,57.89,45.33,4.89
harmbench_contextual,circle,2,800,58.38,46.62,5.38
harmbench_contextual,circle,3,700,60.14,47.57,7.14
harmbench_contextual,star,0,500,39.40,33.20,0.00
harmbench_contextual,star,1,1800,38.00,27.50,-1.40
harmbench_contextual,star,2,1600,29.19,21.06,-10.21
harmbench_contextual,star,3,1400,23.64,14.57,-15.76
harmbench_contextual,fc,0,500,76.40,68.20,0.00
harmbench_contextual,fc,1,900,86.56,76.11,10.16
harmbench_contextual,fc,2,800,71.75,62.50,-4.65
harmbench_contextual,fc,3,700,65.71,52.29,-10.69
harmbench_copyright,chain,0,500,8.20,1.20,0.00
harmbench_copyright,chain,1,2700,18.85,2.44,10.65
harmbench_copyright,chain,2,2400,18.46,2.54,10.26
harmbench_copyright,chain,3,2100,17.52,2.71,9.32
harmbench_copyright,circle,0,500,26.00,1.40,0.00
harmbench_copyright,circle,1,900,50.44,1.56,24.44
harmbench_copyright,circle,2,800,53.00,0.50,27.00
harmbench_copyright,circle,3,700,51.71,1.29,25.71
harmbench_copyright,star,0,500,27.20,5.40,0.00
harmbench_copyright,star,1,1800,46.72,9.89,19.52
harmbench_copyright,star,2,1600,61.12,13.12,33.92
harmbench_copyright,star,3,1400,52.07,5.43,24.87
harmbench_copyright,fc,0,500,79.20,45.20,0.00
harmbench_copyright,fc,1,900,97.67,60.67,18.47
harmbench_copyright,fc,2,800,93.00,49.38,13.80
harmbench_copyright,fc,3,700,93.43,47.14,14.23
