dataset,topology,k,n_aligned_obs,mean_final_stance,delta_vs_k0
synthetic,chain,0,500,5.2120,0.0000
synthetic,chain,1,4050,5.3442,0.1322
synthetic,chain,2,3600,5.3183,0.1063
synthetic,chain,3,3150,5.3010,0.0890
synthetic,circle,0,500,5.5000,0.0000
synthetic,circle,1,1350,5.7526,0.2526
synthetic,circle,2,1200,5.7417,0.2417
synthetic,circle,3,1050,5.7390,0.2390
synthetic,star,0,500,5.5680,0.0000
synthetic,star,1,2700,5.6393,0.0713
synthetic,star,2,2400,5.6162,0.0483
synthetic,star,3,2100,5.5586,-0.0094
synthetic,fc,0,500,5.9600,0.0000
synthetic,fc,1,1350,6.0296,0.0696
synthetic,fc,2,1200,6.0017,0.0417
synthetic,fc,3,1050,5.9962,0.0362
moral_stories,chain,0,500,4.6260,0.0000
moral_stories,chain,1,10800,4.7444,0.1184
moral_stories,chain,2,9600,4.7239,0.0979
moral_stories,chain,3,8400,4.7035,0.0775
moral_stories,circle,0,500,5.2100,0.0000
moral_stories,circle,1,3600,5.2819,0.0719
moral_stories,circle,2,3200,5.2625,0.0525
moral_stories,circle,3,2800,5.2746,0.0646
moral_stories,star,0,500,5.5060,0.0000
moral_stories,star,1,7200,5.0203,-0.4857
moral_stories,star,2,6400,4.9109,-0.5951
moral_stories,star,3,5600,4.8196,-0.6864
moral_stories,fc,0,500,6.0060,0.0000
moral_stories,fc,1,3600,5.9919,-0.0141
moral_stories,fc,2,3200,5.9612,-0.0448
moral_stories,fc,3,2800,5.8996,-0.1064
harmbench_standard,chain,0,500,3.2640,0.0000
harmbench_standard,chain,1,5400,3.6415,0.3775
harmbench_standard,chain,2,4800,3.6237,0.3598
harmbench_standard,chain,3,4200,3.5483,0.2843
harmbench_standard,circle,0,500,5.5900,0.0000
harmbench_standard,circle,1,1800,5.7917,0.2017
harmbench_standard,circle,2,1600,5.8087,0.2188
harmbench_standard,circle,3,1400,5.7300,0.1400
harmbench_standard,star,0,500,5.0220,0.0000
harmbench_standard,star,1,3600,3.6067,-1.4153
harmbench_standard,star,2,3200,3.3094,-1.7126
harmbench_standard,star,3,2800,3.1018,-1.9202
harmbench_standard,fc,0,500,6.6600,0.0000
harmbench_standard,fc,1,1800,6.5872,-0.0728
harmbench_standard,fc,2,1600,5.0000,-1.6600
harmbench_standard,fc,3,1400,4.3336,-2.3264
harmbench_contextual,chain,0,500,4.1000,0.0000
harmbench_contextual,chain,1,2700,4.0393,-0.0607
harmbench_contextual,chain,2,2400,3.9908,-0.1092
harmbench_contextual,chain,3,2100,3.9071,-0.1929
harmbench_contextual,circle,0,500,5.4620,0.0000
harmbench_contextual,circle,1,900,5.4678,0.0058
harmbench_contextual,circle,2,800,5.5375,0.0755
harmbench_contextual,circle,3,700,5.5929,0.1309
harmbench_contextual,star,0,500,4.7240,0.0000
harmbench_contextual,star,1,1800,4.3294,-0.3946
harmbench_contextual,star,2,1600,4.0569,-0.6671
harmbench_contextual,star,3,1400,3.8493,-0.8747
harmbench_contextual,fc,0,500,6.1500,0.0000
harmbench_contextual,fc,1,900,6.3944,0.2444
harmbench_contextual,fc,2,800,5.5350,-0.6150
harmbench_contextual,fc,3,700,5.1229,-1.0271
harmbench_copyright,chain,0,500,4.6980,0.0000
harmbench_copyright,chain,1,2700,4.8707,0.1727
harmbench_copyright,chain,2,2400,4.8446,0.1466
harmbench_copyright,chain,3,2100,4.8152,0.1172
harmbench_copyright,circle,0,500,5.1880,0.0000
harmbench_copyright,circle,1,900,5.3911,0.2031
harmbench_copyright,circle,2,800,5.4275,0.2395
harmbench_copyright,circle,3,700,5.4129,0.2249
harmbench_copyright,star,0,500,5.2500,0.0000
harmbench_copyright,star,1,1800,5.4639,0.2139
harmbench_copyright,star,2,1600,5.5994,0.3494
harmbench_copyright,star,3,1400,5.3757,0.1257
harmbench_copyright,fc,0,500,6.2240,0.0000
harmbench_copyright,fc,1,900,6.5711,0.3471
harmbench_copyright,fc,2,800,6.3863,0.1623
harmbench_copyright,fc,3,700,6.3757,0.1517
