condition,k,dataset,topology,n_aligned_shadow,pct_shadow_ge6,pct_shadow_eq7
no_stance,2,harmbench_contextual,chain,1200,49.00,38.42
no_stance,2,harmbench_contextual,circle,400,61.25,45.75
no_stance,2,harmbench_contextual,fc,400,55.50,42.00
no_stance,2,harmbench_contextual,star,800,51.38,35.00
no_stance,2,harmbench_copyright,chain,1200,28.17,0.00
no_stance,2,harmbench_copyright,circle,400,71.00,0.00
no_stance,2,harmbench_copyright,fc,400,80.50,6.50
no_stance,2,harmbench_copyright,star,800,62.50,0.88
no_stance,2,harmbench_standard,chain,1200,62.75,58.08
no_stance,2,harmbench_standard,circle,400,73.75,63.50
no_stance,2,harmbench_standard,fc,400,68.50,50.50
no_stance,2,harmbench_standard,star,800,58.25,51.50
no_stance,2,moral_stories,chain,1200,63.08,12.50
no_stance,2,moral_stories,circle,400,64.75,14.25
no_stance,2,moral_stories,fc,400,70.50,10.75
no_stance,2,moral_stories,star,800,63.00,16.50
no_stance,2,synthetic,chain,1200,86.58,2.00
no_stance,2,synthetic,circle,400,86.00,3.25
no_stance,2,synthetic,fc,400,90.25,8.75
no_stance,2,synthetic,star,800,82.88,4.38
primary,0,harmbench_contextual,chain,500,50.40,37.80
primary,0,harmbench_contextual,circle,500,61.00,46.60
primary,0,harmbench_contextual,fc,500,67.20,55.40
primary,0,harmbench_contextual,star,500,57.40,43.80
primary,0,harmbench_copyright,chain,500,15.60,0.80
primary,0,harmbench_copyright,circle,500,33.60,0.80
primary,0,harmbench_copyright,fc,500,55.60,27.60
primary,0,harmbench_copyright,star,500,30.60,3.00
primary,0,harmbench_standard,chain,500,42.80,41.60
primary,0,harmbench_standard,circle,500,58.60,54.40
primary,0,harmbench_standard,fc,500,77.20,75.20
primary,0,harmbench_standard,star,500,58.20,54.20
primary,0,moral_stories,chain,500,22.60,6.20
primary,0,moral_stories,circle,500,32.20,14.20
primary,0,moral_stories,fc,500,42.00,20.00
primary,0,moral_stories,star,500,35.80,18.40
primary,0,synthetic,chain,500,52.60,2.20
primary,0,synthetic,circle,500,57.60,2.40
primary,0,synthetic,fc,500,63.40,2.00
primary,0,synthetic,star,500,46.80,5.40
primary,1,harmbench_contextual,chain,2700,47.33,39.67
primary,1,harmbench_contextual,circle,900,62.22,49.22
primary,1,harmbench_contextual,fc,900,63.22,54.89
primary,1,harmbench_contextual,star,1800,47.83,38.11
primary,1,harmbench_copyright,chain,2700,22.33,1.33
primary,1,harmbench_copyright,circle,900,48.78,0.89
primary,1,harmbench_copyright,fc,900,79.78,29.67
primary,1,harmbench_copyright,star,1800,46.06,5.06
primary,1,harmbench_standard,chain,5400,44.33,43.02
primary,1,harmbench_standard,circle,1800,63.61,60.28
primary,1,harmbench_standard,fc,1800,66.50,64.39
primary,1,harmbench_standard,star,3600,35.28,33.19
primary,1,moral_stories,chain,10800,25.26,5.16
primary,1,moral_stories,circle,3600,29.69,7.61
primary,1,moral_stories,fc,3600,30.03,9.19
primary,1,moral_stories,star,7200,31.32,5.75
primary,1,synthetic,chain,4050,52.05,3.83
primary,1,synthetic,circle,1350,54.81,4.52
primary,1,synthetic,fc,1350,54.44,6.30
primary,1,synthetic,star,2700,45.74,3.37
primary,2,harmbench_contextual,chain,2400,47.71,39.75
primary,2,harmbench_contextual,circle,800,60.75,48.88
primary,2,harmbench_contextual,fc,800,55.12,47.00
primary,2,harmbench_contextual,star,1600,41.50,32.62
primary,2,harmbench_copyright,chain,2400,21.38,1.75
primary,2,harmbench_copyright,circle,800,50.38,0.25
primary,2,harmbench_copyright,fc,800,78.62,23.75
primary,2,harmbench_copyright,star,1600,50.94,8.06
primary,2,harmbench_standard,chain,4800,45.10,43.88
primary,2,harmbench_standard,circle,1600,64.12,59.75
primary,2,harmbench_standard,fc,1600,43.81,41.31
primary,2,harmbench_standard,star,3200,38.50,36.09
primary,2,moral_stories,chain,9600,24.84,5.14
primary,2,moral_stories,circle,3200,28.03,7.12
primary,2,moral_stories,fc,3200,33.19,7.50
primary,2,moral_stories,star,6400,31.09,4.88
primary,2,synthetic,chain,3600,51.06,3.92
primary,2,synthetic,circle,1200,55.92,4.25
primary,2,synthetic,fc,1200,53.67,5.42
primary,2,synthetic,star,2400,44.08,2.67
primary,3,harmbench_contextual,chain,2100,47.10,39.33
primary,3,harmbench_contextual,circle,700,61.00,48.71
primary,3,harmbench_contextual,fc,700,60.86,51.29
primary,3,harmbench_contextual,star,1400,43.29,33.00
primary,3,harmbench_copyright,chain,2100,20.76,1.48
primary,3,harmbench_copyright,circle,700,49.86,0.71
primary,3,harmbench_copyright,fc,700,81.14,27.57
primary,3,harmbench_copyright,star,1400,43.64,3.57
primary,3,harmbench_standard,chain,4200,45.71,44.81
primary,3,harmbench_standard,circle,1400,62.79,58.43
primary,3,harmbench_standard,fc,1400,38.07,36.07
primary,3,harmbench_standard,star,2800,37.50,34.54
primary,3,moral_stories,chain,8400,25.25,5.26
primary,3,moral_stories,circle,2800,27.36,6.25
primary,3,moral_stories,fc,2800,30.82,9.11
primary,3,moral_stories,star,5600,30.39,4.61
primary,3,synthetic,chain,3150,51.62,3.97
primary,3,synthetic,circle,1050,55.62,4.38
primary,3,synthetic,fc,1050,52.00,5.05
primary,3,synthetic,star,2100,44.86,2.71
self_hidden,2,harmbench_contextual,chain,64,25.00,25.00
self_hidden,2,harmbench_contextual,circle,16,50.00,50.00
self_hidden,2,harmbench_contextual,fc,24,33.33,33.33
self_hidden,2,harmbench_contextual,star,32,0.00,0.00
self_hidden,2,harmbench_standard,chain,1200,61.33,57.33
self_hidden,2,harmbench_standard,circle,400,58.00,54.00
self_hidden,2,harmbench_standard,fc,400,48.00,46.00
self_hidden,2,harmbench_standard,star,800,40.00,40.00
self_hidden,2,moral_stories,chain,1200,38.67,13.33
self_hidden,2,moral_stories,circle,400,28.00,12.00
self_hidden,2,moral_stories,fc,400,46.00,20.00
