topology,condition,minority_ratio,n_agents,baseline_ev,final_ev,shadow_ev,delta_ev,delta_shadow,delta_ev_sd,delta_shadow_sd,conversion_rate
chain,k0 (no minority),0.0,500,3.863220294669784,5.199119150476439,5.354391421347295,1.3358988558066558,1.4911711266775116,0.745216866715031,0.6626794475534444,0.084
chain,k=1 (ratio=0.1),0.1,450,3.8622202629624636,5.3619227816352995,5.42267767958418,1.4997025186728363,1.5604574166217169,0.6997468758609793,0.6566615145498048,0.09555555555555556
chain,k=2 (ratio=0.2),0.2,400,3.861787659018936,5.3685763803878706,5.389811718213288,1.5067887213689344,1.5280240591943521,0.6854606283946706,0.6490700023740388,0.0925
chain,k=3 (ratio=0.3),0.3,350,3.8621757594722883,5.388161083387564,5.439479852613824,1.525985323915275,1.5773040931415363,0.690181233780676,0.6450220483999716,0.08285714285714285
circle,k0 (no minority),0.0,500,3.863232922592968,5.46235508135053,5.4098447714840034,1.599122158757563,1.5466118488910352,0.7245940869542155,0.6560867730515323,0.106
circle,k=1 (ratio=0.1),0.1,450,3.8633729195702595,5.610057818870265,5.4195714142107985,1.746684899300006,1.556198494640539,0.6786751895671893,0.6725253934430184,0.11333333333333333
circle,k=2 (ratio=0.2),0.2,400,3.8628796399876233,5.58546595407555,5.452735494857842,1.7225863140879276,1.5898558548702184,0.6897209600657472,0.6620262383893963,0.0975
circle,k=3 (ratio=0.3),0.3,350,3.861450624738942,5.615138209287564,5.423801375145699,1.7536875845486228,1.5623507504067569,0.6690068387827528,0.6760652765134856,0.10571428571428572
fc,k0 (no minority),0.0,500,3.862944386638119,5.8647259902065265,5.4912212966957865,2.0017816035684066,1.6282769100576682,0.8229638030754204,0.6462282536884114,0.16
fc,k=1 (ratio=0.1),0.1,450,3.8620918538619766,5.976634174628935,5.45683283300175,2.1145423207669585,1.594740979139773,0.7169218543128589,0.6748764415762978,0.14666666666666667
fc,k=2 (ratio=0.2),0.2,400,3.8626231002381832,5.960912650568849,5.454547818471118,2.098289550330666,1.5919247182329346,0.6700710532596698,0.693642790984942,0.12
fc,k=3 (ratio=0.3),0.3,350,3.8611996608703194,5.9993595585325865,5.46034984372943,2.138159897662267,1.5991501828591104,0.6447517332059026,0.615693705948629,0.13714285714285715
star,k0 (no minority),0.0,500,3.864330408094956,5.5068272821895485,5.375245678288791,1.642496874094593,1.5109152701938358,0.7131729277859222,0.6401774247992884,0.084
star,k=1 (ratio=0.1),0.1,450,3.8615377577751278,5.657721071010635,5.4438816576602775,1.7961833132355074,1.5823438998851498,0.7095175234997363,0.6590481097093006,0.11777777777777777
star,k=2 (ratio=0.2),0.2,400,3.8615542627312864,5.5747753949322565,5.423450178881431,1.71322113220097,1.5618959161501456,0.5947285645452565,0.6210045655219019,0.105
star,k=3 (ratio=0.3),0.3,350,3.861047894561115,5.543396925383898,5.345304506426889,1.6823490308227829,1.484256611865774,0.6466992314117639,0.6830531240901647,0.10285714285714286
