topology,variant,n_agents,baseline_ev,final_ev,shadow_ev,shadow_stance_mean,delta_shadow,delta_shadow_sd,ii_mean,srf_mean,frac_shadow_B
ALL,no-stance,2800,2.667037483158479,4.382576693098223,4.977812893095445,5.3878571428571425,2.3107754099369653,2.155448964264438,125.90650213296517,1.8483641655086693,0.8196428571428571
ALL,own-last,5600,2.7525232777564717,4.392676302483907,4.907913416854093,5.0441071428571425,2.1553901390976216,2.3527918784094104,60.19087826172045,-6.62573756012503,0.6817857142857143
chain,no-stance,1200,2.666182275634138,4.082169312185946,5.044881427830481,5.404166666666667,2.378699152196344,2.1803880252842056,144.14692685775236,23.634524052965958,0.8175
chain,own-last,2400,2.752082742812827,3.9536124323011532,4.856980043366199,5.02625,2.1048973005533718,2.3233418011902884,106.44335460379556,-5.945672065572631,0.6725
circle,no-stance,400,2.6672733730714158,5.344913599593558,5.180570790895328,5.62,2.513297417823914,2.079185464367871,51.55151757124488,-25.600952409900664,0.85
circle,own-last,800,2.7532913999618014,5.465767123613115,5.2282828849086025,5.3775,2.474991484946802,2.500305595738497,31.58213449248279,-0.1960335406813175,0.75625
fc,no-stance,400,2.6662950963601872,5.208492845310441,5.047022562558706,5.505,2.3807274661985205,2.1511182901508334,94.75325293482241,-51.56755676266088,0.8425
fc,own-last,800,2.752344258719107,5.345188367093405,5.0174418147484054,5.1775,2.2650975560292976,2.298354389042656,36.02344852430772,-27.144420094760644,0.71
star,no-stance,800,2.6685735428876693,3.9390612351128618,4.741226307361315,5.18875,2.0726527644736463,2.1412704561397073,151.2999819257159,9.601743086112174,0.79625
star,own-last,1600,2.7528895285879558,4.038470664888683,4.769364544111524,4.8375,2.0164750155235684,2.3326291641346173,17.20025050193297,-0.6013465443576707,0.644375
