topology,variant,n_agents,baseline_ev,final_ev,shadow_ev,shadow_stance_mean,delta_shadow,delta_shadow_sd,ii_mean,srf_mean,frac_shadow_B
ALL,no-stance,2800,4.337923807413367,5.366745183848852,5.14388294749952,5.496785714285714,0.8059591400861531,0.6297242780680623,0.9252325589381868,0.13564591246592095,0.9728571428571429
ALL,own-last,5600,4.341652893647435,5.321565097058768,5.142889048150732,5.299821428571429,0.8012361545032968,0.8255575664566093,1.0658355460565085,-0.11645131832487496,0.8214285714285714
chain,no-stance,1200,4.338003987072729,4.85453144791389,4.88457579549931,5.225,0.5465718084265816,0.5539316227693099,0.9524836378472324,-0.016561655005865605,0.95
chain,own-last,2400,4.341644318067585,4.829745861522609,4.863662717438027,4.940416666666667,0.522018399370442,0.7412597136203084,1.248340594737143,-0.15109340862495535,0.7129166666666666
circle,no-stance,400,4.337321907720714,5.4481527784243635,5.330378700331712,5.69,0.993056792610999,0.5743610447698513,1.163977488952326,0.005988671481852228,0.98
circle,own-last,800,4.341675325011598,5.391914437929959,5.1894826018879625,5.385,0.8478072768763645,0.679153749422408,0.9904240412604668,0.1590552268754351,0.88
fc,no-stance,400,4.338487333499175,6.377858016974335,5.566421951256084,5.87,1.227934617756909,0.6112036156421204,0.6372103962307394,0.48300031901884305,1.0
fc,own-last,800,4.341499990050595,6.283341997660164,5.726600864359324,5.96,1.3851008743087294,0.821453121681302,0.6827647824508324,0.12711378845736798,0.93875
star,no-stance,800,4.337822724727746,5.588805573900795,5.228326297205456,5.62125,0.8905035724777092,0.6021289373682287,0.9089945569212722,0.2551086808891742,0.99
star,own-last,1600,4.341730993133549,5.543230829626709,5.246575859246877,5.46625,0.9048448661133289,0.8336917311312635,1.0213191072364158,-0.3240240088660309,0.89625
