topology,variant,n_agents,baseline_ev,final_ev,shadow_ev,shadow_stance_mean,delta_shadow,delta_shadow_sd,ii_mean,srf_mean,frac_shadow_B
ALL,no-stance,2800,2.0854112208435565,3.706439919024785,5.3931432895129685,5.708571428571428,3.3077320686694125,2.1927697355668374,141.0042939272269,353.6985944975201,0.8103571428571429
ALL,own-last,11200,1.838980457242822,3.926973960049673,4.828017398153195,5.012321428571428,2.989036940910373,2.108666011281922,74.63799660915745,2.693712390020569,0.5869642857142857
chain,no-stance,1200,2.0844343261094482,3.210301650046881,5.542751142222244,5.7683333333333335,3.4583168161127955,2.2459061142377665,186.79496544323436,417.8051778253149,0.7841666666666667
chain,own-last,4800,1.8387943087486731,3.51943449699116,4.789769599785648,4.97375,2.950975291036975,2.141609517689538,105.60644821200697,-1.951826623895414,0.566875
circle,no-stance,400,2.0866207861863844,5.323535395238304,5.7200839746560925,6.1075,3.633463188469709,2.1100728817764254,27.333428500136744,2.7065675188539524,0.89
circle,own-last,1600,1.8385140663545503,5.647894327884542,5.666510721261715,5.78,3.827996654907164,2.179602515996478,11.793259370718483,-1.272226364312453,0.74875
fc,no-stance,400,2.085265432948635,4.633580235932661,5.11013176658775,5.75,3.024866333639115,1.9951194756958697,279.88164502986774,-28.938405428626055,0.835
fc,own-last,1600,1.8399801406002843,4.805583732561339,4.59423946719975,4.7475,2.754259326599465,1.9771221406139796,73.22023283677082,11.091942733017948,0.533125
star,no-stance,800,2.0863446742207667,3.178529425930943,5.146766929340105,5.39875,3.060422255119339,2.2079261270227053,59.71504381544033,624.3532329582341,0.7975
star,own-last,3200,1.8389930337494507,3.238518084464174,4.5830313996269805,4.81875,2.7440383658775294,1.9787283389174313,60.31656971029601,7.445875116562357,0.563125
