topology,variant,n_agents,baseline_ev,final_ev,shadow_ev,shadow_stance_mean,delta_shadow,delta_shadow_sd,ii_mean,srf_mean,frac_shadow_B
ALL,no-stance,2800,4.0601027221006145,4.9481817520883515,5.426190220221402,5.669642857142857,1.3660874981207871,1.0284588975805256,1.395816902101298,-1.271838485200368,0.9025
ALL,own-last,22400,4.150048401938511,4.9916522888598625,4.929166858480847,5.152901785714286,0.7791184565423357,0.9319153940161232,1.2818087439646484,-1.2606518880918645,0.8549553571428572
chain,no-stance,1200,4.0599288500063695,4.668821114300809,5.379136683313009,5.630833333333333,1.31920783330664,0.9536785856772647,1.5948968494821358,1.653407626759575,0.8766666666666667
chain,own-last,9600,4.150132993022929,4.703610747497711,4.8461334394282005,5.0772916666666665,0.6960004464052718,0.8952744356225977,1.4316433146795056,-0.0739531220907054,0.8183333333333334
circle,no-stance,400,4.060406439535107,5.181362871851023,5.411027822343381,5.6725,1.3506213828082745,1.0095384352199597,0.9279648741367318,-12.931094037184087,0.89
circle,own-last,3200,4.149823597426418,5.214063866168122,4.952342924969684,5.1634375,0.8025193275432657,0.9752895766278336,0.8216410485096152,0.4617452346337753,0.8434375
fc,no-stance,400,4.061009123191413,5.859962629916049,5.496640678301426,5.745,1.435631555110012,1.0724631832177525,0.8362265634837481,0.14639353815040418,0.9325
fc,own-last,3200,4.149904694045347,5.914554638213883,5.058922792568141,5.2728125,0.909018098522794,0.9977663736564099,0.889327897601505,0.7545768143967564,0.919375
star,no-stance,800,4.0597584709793395,4.794741709974478,5.469126495482991,5.68875,1.4093680245036513,1.1178107446267358,1.6109181643211,-0.5391958888238032,0.9325
star,own-last,6400,4.150105771514514,4.851057637571948,4.977250986771753,5.20109375,0.8271452152572374,0.9181715754155167,1.483381158801451,-4.909512949700734,0.8834375
