topology,variant,n_agents,baseline_ev,final_ev,shadow_ev,shadow_stance_mean,delta_shadow,delta_shadow_sd,ii_mean,srf_mean,frac_shadow_B
ALL,no-stance,2800,3.8621350490267625,5.438360446529116,5.734063224419501,5.873928571428571,1.8719281753927381,0.7091354650307935,1.4001422304696236,-0.32346432879468945,0.9778571428571429
ALL,own-last,2800,3.8621957749000857,5.429883787728375,5.372560827443363,5.4975,1.5103650525432772,0.6596986950445778,1.100661237895824,-0.014749116513032803,0.9621428571428572
chain,no-stance,1200,3.861936706677848,5.2279225653722685,5.751620229254221,5.859166666666667,1.8896835225763728,0.7099917482282053,1.6415895410453176,-0.5381808214452631,0.9733333333333334
chain,own-last,1200,3.8620170702604386,5.2236097617305415,5.346990047426132,5.486666666666666,1.4849729771656937,0.663786179534912,1.2470372467984536,-0.11482555392684787,0.9566666666666667
circle,no-stance,400,3.8627306739530436,5.607103766646112,5.724925404988095,5.8525,1.8621947310350504,0.7252860489337345,1.0959674501414969,-0.18893861236240114,0.96
circle,own-last,400,3.8628796399876237,5.58546595407555,5.452735494857842,5.5775,1.5898558548702184,0.6620262383893964,0.9207180816697076,0.0034766585134733494,0.96
fc,no-stance,400,3.8614032881549463,6.002231859537204,5.799786307496833,5.985,1.9383830193418876,0.7093864402753336,0.8038749245542443,0.05165702954929516,0.9975
fc,own-last,400,3.8626231002381832,5.960912650568851,5.454547818471118,5.61,1.5919247182329346,0.6936427909849421,0.6746288310025722,0.22413148322089727,0.9825
star,no-stance,800,3.8625006305229026,5.387709901701844,5.679435085344457,5.85125,1.8169344548215542,0.6967289138190381,1.4881923077278356,-0.2562131272069654,0.98375
star,own-last,800,3.8619082366467374,5.3959893121313005,5.32983616824809,5.4175,1.4679279316013532,0.6284719151033704,1.184085006101563,0.006812352227471796,0.96125
