topology,variant,n_agents,baseline_ev,final_ev,shadow_ev,shadow_stance_mean,delta_shadow,delta_shadow_sd,ii_mean,srf_mean,frac_shadow_B
ALL,own-last,5600,2.7525232777564717,4.392676302483907,4.907913416854093,5.0441071428571425,2.1553901390976216,2.3527918784094104,60.19087826172045,-6.62573756012503,0.6817857142857143
ALL,self-hidden,136,3.365790592490529,3.609081773177472,3.3144104583246556,3.0,-0.05138013416587306,2.6041106350158336,45.324784776394665,-23.775236611984248,0.29411764705882354
chain,own-last,2400,2.752082742812827,3.9536124323011532,4.856980043366199,5.02625,2.1048973005533718,2.3233418011902884,106.44335460379556,-5.945672065572631,0.6725
chain,self-hidden,64,3.153049025274659,3.6363965079891027,3.9923975160149765,3.625,0.839348490740317,2.951213769176134,31.72147908433436,-0.6445174362984165,0.375
circle,own-last,800,2.7532913999618014,5.465767123613115,5.2282828849086025,5.3775,2.474991484946802,2.500305595738497,31.58213449248279,-0.1960335406813175,0.75625
circle,self-hidden,16,3.865358611538257,4.043157008300487,3.185328045993895,4.0,-0.6800305655443626,1.5153698340037518,4.305065331664833,9.726417056644674,0.5
fc,own-last,800,2.752344258719107,5.345188367093405,5.0174418147484054,5.1775,2.2650975560292976,2.298354389042656,36.02344852430772,-27.144420094760644,0.71
fc,self-hidden,24,2.9258129925999654,3.316584628922127,3.138118869336297,3.0,0.21230587673633203,2.6569335046522258,159.4523562391715,-131.34404634938053,0.3333333333333333
star,own-last,1600,2.7528895285879558,4.038470664888683,4.769364544111524,4.8375,2.0164750155235684,2.3326291641346173,17.20025050193297,-0.6013465443576707,0.644375
star,self-hidden,32,3.871472917316326,3.5567875441842127,2.155196240850663,1.25,-1.7162766764656623,0.8519549821048406,7.445577285797579,-6.110894494623162,0.0
