topology,variant,n_agents,baseline_ev,final_ev,shadow_ev,shadow_stance_mean,delta_shadow,delta_shadow_sd,ii_mean,srf_mean,frac_shadow_B
ALL,own-last,11200,1.838980457242822,3.926973960049673,4.828017398153195,5.012321428571428,2.989036940910373,2.108666011281922,74.63799660915745,2.693712390020569,0.5869642857142857
ALL,self-hidden,2800,2.090635143172269,3.719624540114624,4.669114433232619,4.8342857142857145,2.578479290060351,2.6296707531788184,162.83429602866124,27.845796916070576,0.6514285714285715
chain,own-last,4800,1.8387943087486731,3.51943449699116,4.789769599785648,4.97375,2.950975291036975,2.141609517689538,105.60644821200697,-1.951826623895414,0.566875
chain,self-hidden,1200,2.0906619264942257,3.232148556090317,5.21073997346354,5.42,3.120078046969315,2.458143894588429,150.50919449599496,45.897735570234744,0.76
circle,own-last,1600,1.8385140663545503,5.647894327884542,5.666510721261715,5.78,3.827996654907164,2.179602515996478,11.793259370718483,-1.272226364312453,0.74875
circle,self-hidden,400,2.089916693427625,5.228412471694344,5.014881152062253,5.04,2.924964458634628,2.726906835809428,25.397623055994536,-1.7053559638649147,0.66
fc,own-last,1600,1.8399801406002843,4.805583732561339,4.59423946719975,4.7475,2.754259326599465,1.9771221406139796,73.22023283677082,11.091942733017948,0.533125
fc,self-hidden,400,2.0907589799780624,4.598820400614638,4.022664108133872,4.16,1.9319051281558104,2.62336042846745,565.458067136768,29.469707379178804,0.5
star,own-last,3200,1.8389930337494507,3.238518084464174,4.5830313996269805,4.81875,2.7440383658775294,1.9787283389174313,60.31656971029601,7.445875116562357,0.563125
star,self-hidden,800,2.0908922746587586,3.2568466201112174,4.0070179260207945,4.19,1.9161256513620355,2.6187743990356913,48.72839925994063,14.731510143237957,0.56
