topology,variant,n_agents,baseline_ev,final_ev,shadow_ev,shadow_stance_mean,delta_shadow,delta_shadow_sd,ii_mean,srf_mean,frac_shadow_B
ALL,own-last,22400,4.150048401938511,4.9916522888598625,4.929166858480847,5.152901785714286,0.7791184565423357,0.9319153940161232,1.2818087439646484,-1.2606518880918645,0.8549553571428572
ALL,self-hidden,2800,4.058616823047865,4.949262203937466,4.885776631396353,5.128571428571429,0.8271598083484879,1.2042178167838433,1.0865931408104859,0.7924625338568279,0.74
chain,own-last,9600,4.150132993022929,4.703610747497711,4.8461334394282005,5.0772916666666665,0.6960004464052718,0.8952744356225977,1.4316433146795056,-0.0739531220907054,0.8183333333333334
chain,self-hidden,1200,4.058413384484024,4.668418001028363,4.90159357072578,5.1066666666666665,0.8431801862417554,1.1398336423205317,1.3517079885832348,1.9948336346287503,0.6666666666666666
circle,own-last,3200,4.149823597426418,5.214063866168122,4.952342924969684,5.1634375,0.8025193275432657,0.9752895766278336,0.8216410485096152,0.4617452346337753,0.8434375
circle,self-hidden,400,4.059304871263364,5.155805210886614,4.819878170552113,5.0,0.7605732992887488,1.2299099976574257,0.6420551904510878,-0.6311668982918448,0.76
fc,own-last,3200,4.149904694045347,5.914554638213883,5.058922792568141,5.2728125,0.909018098522794,0.9977663736564099,0.889327897601505,0.7545768143967564,0.919375
fc,self-hidden,400,4.058719491465609,5.869316031638261,5.081507320696602,5.36,1.0227878292309935,1.2888814162548685,0.6421084224106824,0.5130148761987887,0.82
star,own-last,6400,4.150105771514514,4.851057637571948,4.977250986771753,5.20109375,0.8271452152572374,0.9181715754155167,1.483381158801451,-4.909512949700734,0.8834375
star,self-hidden,800,4.058526622577003,4.807230090976147,4.797135108174206,5.11,0.7386084855972038,1.231181950147165,1.133432203530962,-0.15955557239770182,0.8
