topology,variant,n_agents,baseline_ev,final_ev,shadow_ev,shadow_stance_mean,delta_shadow,delta_shadow_sd,ii_mean,srf_mean,frac_shadow_B
ALL,own-last,2800,3.8621957749000857,5.429883787728375,5.372560827443363,5.4975,1.5103650525432772,0.6596986950445778,1.100661237895824,-0.014749116513032803,0.9621428571428572
ALL,self-hidden,80,3.9995734833013032,5.953589815799968,6.228117376237138,6.3,2.2285438929358343,0.39026040593958033,1.2967532639755737,-0.3136408035740537,1.0
chain,own-last,1200,3.8620170702604386,5.2236097617305415,5.346990047426132,5.486666666666666,1.4849729771656937,0.663786179534912,1.2470372467984536,-0.11482555392684787,0.9566666666666667
chain,self-hidden,40,3.9853063355695255,5.73140286000723,6.0250686223376055,6.0,2.0397622867680805,0.04682422033844271,1.6320938121589532,-0.49702287838614084,1.0
circle,own-last,400,3.8628796399876237,5.58546595407555,5.452735494857842,5.5775,1.5898558548702184,0.6620262383893964,0.9207180816697076,0.0034766585134733494,0.96
circle,self-hidden,8,4.039761565913477,6.012153769756503,6.628107623551013,7.0,2.5883460576375352,1.209496617586125e-05,1.094359157845639,-0.31353097963132626,1.0
fc,own-last,400,3.8626231002381832,5.960912650568851,5.454547818471118,5.61,1.5919247182329346,0.6936427909849421,0.6746288310025722,0.22413148322089727,0.9825
fc,self-hidden,16,3.9749592287124855,6.438213328993853,6.467675213425924,6.5,2.4927159847134392,0.36620572969777315,0.9450492315122705,-0.013431836557343108,1.0
star,own-last,800,3.8619082366467374,5.3959893121313005,5.32983616824809,5.4175,1.4679279316013532,0.6284719151033704,1.184085006101563,0.006812352227471796,0.96125
star,self-hidden,16,4.039761565913477,5.995151715109666,6.2961863001402385,6.5,2.2564247342267616,0.6503648148160491,0.9113029790453949,-0.15544949553191,1.0
