topology,variant,n_agents,baseline_ev,final_ev,shadow_ev,shadow_stance_mean,delta_shadow,delta_shadow_sd,ii_mean,srf_mean,frac_shadow_B
ALL,own-last,5600,4.341652893647435,5.321565097058768,5.142889048150732,5.299821428571429,0.8012361545032968,0.8255575664566093,1.0658355460565085,-0.11645131832487496,0.8214285714285714
ALL,summary,2800,4.336022976863821,5.32616101746926,5.4973840824858335,5.637142857142857,1.161361105622013,0.6143974947663675,1.870396911945625,-0.003797430160957345,0.9657142857142857
chain,own-last,2400,4.341644318067585,4.829745861522609,4.863662717438027,4.940416666666667,0.522018399370442,0.7412597136203084,1.248340594737143,-0.15109340862495535,0.7129166666666666
chain,summary,1200,4.336128957507591,4.851163882947503,5.276411106908165,5.426666666666667,0.9402821494005743,0.5816729615459849,1.9781717787042672,0.2900901998699281,0.9533333333333334
circle,own-last,800,4.341675325011598,5.391914437929959,5.1894826018879625,5.385,0.8478072768763645,0.679153749422408,0.9904240412604668,0.1590552268754351,0.88
circle,summary,400,4.336336245068054,5.44874289939881,5.5026675062293,5.7,1.1663312611612475,0.5164010759327852,1.481680012378767,-0.299202484640735,0.98
fc,own-last,800,4.341499990050595,6.283341997660164,5.726600864359324,5.96,1.3851008743087294,0.821453121681302,0.6827647824508324,0.12711378845736798,0.93875
fc,summary,400,4.335895992906035,6.302617478687544,5.728258278454745,5.9,1.3923622855487106,0.6078601762054612,0.7781520151391266,0.3232268537813133,0.98
star,own-last,1600,4.341730993133549,5.543230829626709,5.246575859246877,5.46625,0.9048448661133289,0.8336917311312635,1.0213191072364158,-0.3240240088660309,0.89625
star,summary,800,4.335770863774942,5.489137547677975,5.710764735996147,5.79,1.374993872221205,0.5925681918345594,2.4492155099943402,-0.46043848993853204,0.97
