topology,variant,n_agents,baseline_ev,final_ev,shadow_ev,shadow_stance_mean,delta_shadow,delta_shadow_sd,ii_mean,srf_mean,frac_shadow_B
ALL,own-last,11200,1.838980457242822,3.926973960049673,4.828017398153195,5.012321428571428,2.989036940910373,2.108666011281922,74.63799660915745,2.693712390020569,0.5869642857142857
ALL,summary,2800,2.0878099479272985,3.702702592285179,4.021382474101203,4.228571428571429,1.9335725261739038,2.057579894568457,78.50289096846927,-66.14338789859801,0.4828571428571429
chain,own-last,4800,1.8387943087486731,3.51943449699116,4.789769599785648,4.97375,2.950975291036975,2.141609517689538,105.60644821200697,-1.951826623895414,0.566875
chain,summary,1200,2.087784847430878,3.2302202214199345,4.160585581376753,4.446666666666666,2.0728007339458747,2.1089451321509483,110.6032883206538,-10.511747286747944,0.5066666666666667
circle,own-last,1600,1.8385140663545503,5.647894327884542,5.666510721261715,5.78,3.827996654907164,2.179602515996478,11.793259370718483,-1.272226364312453,0.74875
circle,summary,400,2.087220057907794,5.2555424612926736,4.2328519512785325,4.4,2.1456318933707395,1.9829771115577348,9.300061365166346,0.5408959155735851,0.5
fc,own-last,1600,1.8399801406002843,4.805583732561339,4.59423946719975,4.7475,2.754259326599465,1.9771221406139796,73.22023283677082,11.091942733017948,0.533125
fc,summary,400,2.088637821689438,4.530238009421753,3.858876561605814,4.0,1.770238739916376,2.150511256383235,118.49457126959528,-6.989770752741387,0.46
star,own-last,3200,1.8389930337494507,3.238518084464174,4.5830313996269805,4.81875,2.7440383658775294,1.9787283389174313,60.31656971029601,7.445875116562357,0.563125
star,summary,800,2.087728606800612,3.221238505511013,3.7880960308469054,3.93,1.7003674240462936,1.940150441823256,44.957869591280925,-212.50979929638726,0.45
