topology,variant,n_agents,baseline_ev,final_ev,shadow_ev,shadow_stance_mean,delta_shadow,delta_shadow_sd,ii_mean,srf_mean,frac_shadow_B
ALL,own-last,2800,3.8621957749000857,5.429883787728375,5.372560827443363,5.4975,1.5103650525432772,0.6596986950445778,1.100661237895824,-0.014749116513032803,0.9621428571428572
ALL,summary,2800,3.862982125632434,5.445837648562537,5.584020826638517,5.725714285714286,1.7210387010060841,0.7321068988950238,1.314374282667447,-0.4113548272801886,0.9085714285714286
chain,own-last,1200,3.8620170702604386,5.2236097617305415,5.346990047426132,5.486666666666666,1.4849729771656937,0.663786179534912,1.2470372467984536,-0.11482555392684787,0.9566666666666667
chain,summary,1200,3.8628225035367376,5.218762781916624,5.621770981912114,5.78,1.7589484783753766,0.7176036481343797,1.5909571928787212,-0.9203368166021649,0.9333333333333333
circle,own-last,400,3.8628796399876237,5.58546595407555,5.452735494857842,5.5775,1.5898558548702184,0.6620262383893964,0.9207180816697076,0.0034766585134733494,0.96
circle,summary,400,3.8632010343095557,5.604447390544265,5.582643478890809,5.72,1.7194424445812535,0.6649487723942322,1.0625188805174068,-0.03527198265488428,0.86
fc,own-last,400,3.8626231002381832,5.960912650568851,5.454547818471118,5.61,1.5919247182329346,0.6936427909849421,0.6746288310025722,0.22413148322089727,0.9825
fc,summary,400,3.8633263857844753,5.972914498309604,5.567930991461627,5.68,1.7046046056771513,0.6932008155211608,0.7777394928045175,0.14142902233644267,0.86
star,own-last,800,3.8619082366467374,5.3959893121313005,5.32983616824809,5.4175,1.4679279316013532,0.6284719151033704,1.184085006101563,0.006812352227471796,0.96125
star,summary,800,3.8629399743613964,5.443606652667011,5.536129185190423,5.67,1.6731892108290265,0.7996886972790261,1.2937450133570199,-0.11231519041819198,0.92
