dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,mean_ii,median_ii,std_ii,frac_internalized,frac_moscovici
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,0,450,0.8787256354360443,0.45066669559024664,2.1454742852514483,0.27111111111111114,0.2
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,1,450,0.7266223892418263,0.4333064072056563,0.9536004532313634,0.26,0.20444444444444446
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,2,450,0.6665999668440947,0.4145624152975538,0.9211608852402061,0.21777777777777776,0.1688888888888889
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,0,400,0.7509979262138315,0.4199301177554395,1.0482693057798427,0.28,0.2
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,1,400,0.7376812157047887,0.4789859546865155,0.9943369117291198,0.28,0.2075
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,2,400,0.7135099590687713,0.4254920346674441,1.1508648866543891,0.2325,0.17
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,0,350,0.8402368727506865,0.4475118031673123,1.8677112745986388,0.31142857142857144,0.2342857142857143
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,1,350,0.7378166241337671,0.48061993110078943,0.9228636811581404,0.27714285714285714,0.22
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,2,350,0.6962325062936346,0.42107744119936047,1.046712715851907,0.24,0.17142857142857143
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.1,0,450,1.2371427438623863,0.48839580893617285,3.0261946854932114,0.3422222222222222,0.28444444444444444
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.2,0,400,2.8765405247479054,0.5087061340604171,33.625251141438795,0.35,0.2925
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.3,0,349,1.5330092000898627,0.5496396381157492,7.07625539530583,0.3553008595988539,0.27793696275071633
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.1,0,448,1.9408632124446634,1.4392109466233456,2.316824508037776,0.78125,0.6830357142857143
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.2,0,400,1.5832765524222043,1.3517962954866802,1.3708114930047468,0.725,0.595
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.3,0,350,1.9020453434771476,1.3767937730121007,2.9257124612572314,0.8085714285714286,0.7228571428571429
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,0,450,0.8434275635921413,0.5955852815738474,1.1701686713874533,0.3088888888888889,0.23333333333333334
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,1,450,1.9864951881553963,1.2381431134472463,2.4365511870426,0.7755555555555556,0.66
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,0,400,0.9949090794990463,0.5592560790606956,1.2350781478341426,0.3225,0.27
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,1,400,1.5886860951214983,1.2955760611473577,1.1598677082159345,0.745,0.6625
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,0,350,1.059402033407961,0.4857249978097042,2.5035637547142446,0.32285714285714284,0.23714285714285716
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,1,350,1.1415316817055685,0.7061503288457265,1.3112229552692114,0.38571428571428573,0.2714285714285714
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,450,0.9224979551769134,0.4524348282464331,1.5922659006616062,0.2866666666666667,0.21555555555555556
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,449,0.8013697781402528,0.48588250114654463,0.9753779844884783,0.30957683741648107,0.2383073496659243
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,450,0.69082604564187,0.4157038543910263,1.0029233302183271,0.24222222222222223,0.17333333333333334
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,400,0.8763154548056019,0.4467301959453771,1.3523313193198736,0.295,0.24
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,400,0.9617789709909492,0.5002739100696385,2.304368847096085,0.29,0.24
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,400,0.6634991188249236,0.4063817722128411,0.9385339396863903,0.2225,0.165
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,350,0.9976093523101314,0.49042452837813,1.6114760726148123,0.3342857142857143,0.28
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,350,0.8389464706384765,0.5090054310424379,1.3066339428459737,0.29714285714285715,0.24
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,350,0.6772594538622496,0.4139375246088568,0.8884782700112785,0.2342857142857143,0.1742857142857143
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,450,2.095608926296793,0.5257027023342651,16.842315091173838,0.38,0.31777777777777777
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,400,1.2793974710998102,0.45911304773462247,3.090610320580476,0.3575,0.3
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,349,1.28011568375231,0.5435123777901579,2.5131848330201247,0.3954154727793696,0.335243553008596
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,450,2.0961375017552566,1.2857536526231121,4.129909677193016,0.68,0.5977777777777777
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,400,2.2391568347440773,1.3733348579113052,2.7015696553740614,0.78,0.66
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,350,1.634662191321358,1.1699599137911152,2.207254236619944,0.7,0.6171428571428571
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,0,450,1.0832151893455595,0.46394550391173717,2.2160035663373567,0.42,0.34444444444444444
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,1,450,1.8175462346945097,1.386282249891425,1.6686932811701833,0.7266666666666667,0.6666666666666666
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,0,400,0.9340923714226519,0.6114181360737524,1.0041024733291932,0.39,0.3275
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,1,400,1.416493407104806,1.1661865935920481,0.9603628160563789,0.6175,0.56
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,0,350,6.788541502323756,0.6064234138991804,45.107339749731096,0.41714285714285715,0.2742857142857143
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,1,350,1.2725041728470432,1.0468292658144769,0.8536350473552661,0.6228571428571429,0.58
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,0,450,3.3581233528598253,2.743682622707408,2.301867050437539,0.9888888888888889,0.9844444444444445
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,1,449,4.015489353766186,3.1908044827449653,3.17865214328253,0.9821826280623608,0.9732739420935412
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,2,449,3.665363248013373,2.8630685717724935,3.2946128132317565,0.9910913140311804,0.9688195991091314
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,0,400,3.5509583275302976,2.904791061229947,2.6255991161287806,0.9825,0.9675
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,1,399,4.335097542973658,3.2988144438975895,3.9351536933375293,0.9899749373433584,0.9774436090225563
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,2,399,3.7621215202419718,2.921712671640971,3.1568948756566253,0.9824561403508771,0.9699248120300752
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,0,350,3.332443284717129,2.712301650597771,2.1504169519615943,0.9828571428571429,0.9771428571428571
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,1,349,4.253982518665141,3.263631394375506,3.4469898153894136,0.9828080229226361,0.9770773638968482
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,2,349,3.757985614702537,2.996386987030623,3.5187391960142764,0.9770773638968482,0.9656160458452722
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.1,0,450,2.0494171310914004,1.7979406118971357,1.1283410167996129,0.9288888888888889,0.8755555555555555
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.2,0,400,1.9986257589071743,1.7406261706048434,1.0944833978581476,0.9475,0.885
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.3,0,350,2.038082835342428,1.8088534124052429,1.1144342596782133,0.94,0.8971428571428571
