dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,baseline_ev_mean,baseline_ev_std,final_ev_mean,final_ev_std,shadow_ev_mean,shadow_ev_std,shift_final,shift_shadow
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,0,450,5.3238461332425775,0.7243622199928751,4.437125229607913,0.8821728495238621,5.074443247716715,1.0510216452894383,-0.8867209036346644,-0.24940288552586232
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,1,450,5.324151831157591,0.7244463680932144,4.453812215044289,0.7658154225383628,5.060117941427028,0.9830863310014343,-0.8703396161133021,-0.2640338897305634
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,2,450,5.3245476706777985,0.7238065025983902,4.2464138369684,0.9025345235495802,4.97417293687649,1.0373268543188552,-1.0781338337093986,-0.3503747338013081
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,0,400,5.324545694176805,0.724301511988222,4.479076606633762,0.827298849843225,5.135472054610794,1.0231887505331083,-0.8454690875430426,-0.18907363956601042
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,1,400,5.3242956143528,0.724581565295012,4.414820415509148,0.7750143492772401,5.018151796642821,0.9838751228494284,-0.9094751988436522,-0.30614381770997934
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,2,400,5.324434894716201,0.7243907462358649,4.2697088580839555,0.9079104417509114,5.004097889455705,1.0448293725020912,-1.0547260366322453,-0.32033700526049547
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,0,350,5.324601997933676,0.7247614724066116,4.511995103279753,0.8181551387627951,5.10980996346734,1.0060319556871782,-0.8126068946539222,-0.21479203446633566
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,1,350,5.324292885473773,0.7245517618070382,4.392392313367024,0.8112472976581195,5.0216275369494845,0.9820691878686517,-0.9319005721067493,-0.3026653485242887
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,2,350,5.324072093289686,0.7248951122912829,4.300192418362204,0.8729865173749934,5.004067252469342,1.0631856899907526,-1.0238796749274828,-0.32000484082034397
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.1,0,450,5.324306815612582,0.7243762051072415,4.642144646909421,0.8910706896633608,5.221236450890811,1.0644379858250526,-0.6821621687031607,-0.10307036472177078
