dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,mean_delta_cc,std_delta_cc,frac_asch,frac_moscovici,n
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,-1.2,1.2073846850849888,0.09111111111111111,0.8533333333333334,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,-1.3755555555555556,1.260979435122742,0.05555555555555555,0.8688888888888889,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,-1.4644444444444444,1.331608143153826,0.07111111111111111,0.8511111111111112,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,-1.17,1.177327482054165,0.085,0.86,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,-1.3375,1.244425068053517,0.065,0.86,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,-1.4925,1.3133711394727692,0.065,0.86,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,-1.22,1.126384861911264,0.07142857142857142,0.8771428571428571,350
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,-1.4142857142857144,1.2176424192777162,0.04857142857142857,0.88,350
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,-1.4885714285714287,1.317415528020445,0.06285714285714286,0.8657142857142858,350
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,-1.048888888888889,1.0273206190479134,0.07333333333333333,0.8177777777777778,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,-1.105,0.8882426470283894,0.0475,0.8575,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,-1.0057142857142858,1.0663536955821142,0.08857142857142856,0.8342857142857143,350
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,-0.30666666666666664,1.3901878370285874,0.2733333333333333,0.6644444444444444,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,-0.26,1.2257242756835651,0.305,0.635,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,-0.4657142857142857,1.0379768390322335,0.3057142857142857,0.6714285714285714,350
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,0,-1.1266666666666667,1.0538606275130606,0.05555555555555555,0.8733333333333333,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,1,-0.6266666666666667,0.7619857099855759,0.14888888888888888,0.7511111111111111,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,0,-0.9,0.7937253933193771,0.08,0.875,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,1,-0.765,0.9745640050812466,0.13,0.73,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,0,-1.0914285714285714,0.8702615135927914,0.03142857142857143,0.9171428571428571,350
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,1,-1.06,1.2395160345876934,0.12,0.76,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,-0.13555555555555557,0.755323493773968,0.18666666666666668,0.3022222222222222,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,-0.23555555555555555,0.8260092965727998,0.19111111111111112,0.3888888888888889,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,-0.30666666666666664,0.7654773383683905,0.14222222222222222,0.4111111111111111,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,-0.035,0.7640516998214191,0.2375,0.2575,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,-0.2525,0.8418692000542602,0.1825,0.395,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,-0.3025,0.7816608919473969,0.155,0.42,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,-0.07142857142857142,0.7352633847118727,0.20285714285714285,0.24857142857142858,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,-0.2914285714285714,0.8285517239036279,0.16857142857142857,0.4085714285714286,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,-0.3171428571428571,0.7705232783303693,0.1457142857142857,0.42,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,0.08,0.6718465433250198,0.2511111111111111,0.17333333333333334,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,0.105,0.6884584228550045,0.28,0.1825,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,0.10857142857142857,0.7208611630033418,0.3028571428571429,0.19428571428571428,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,0.5155555555555555,0.6189437438287031,0.5288888888888889,0.04,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,0.455,0.6268771809533348,0.4525,0.0275,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,0.5285714285714286,0.6441257324340284,0.5485714285714286,0.05142857142857143,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.1,0,0.23333333333333334,0.7125852775477316,0.35333333333333333,0.14222222222222222,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.1,1,0.14666666666666667,0.7488064577119451,0.34444444444444444,0.17777777777777778,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.2,0,0.0875,0.7448783457719791,0.2975,0.1975,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.2,1,-0.01,1.0099009852455834,0.325,0.235,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.3,0,0.21714285714285714,0.6579125926685374,0.32571428571428573,0.09428571428571429,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.3,1,-0.13142857142857142,0.9650378019454334,0.24857142857142858,0.28,350
