dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,mean_rho,std_rho,n
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,1.9560220573387066,1.4398750958502675,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,1.916391514232039,1.400416509228074,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,2.0684219093015774,1.4040297469873357,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,1.9487874218018144,1.4522973783853428,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,1.9112759794489191,1.4454531322332376,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,2.075551554048234,1.4115717885979424,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,1.9031398494458744,1.4628571891057767,350
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,1.880689781299426,1.392696479766855,350
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,2.09215222817254,1.4169033388013346,350
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,1.7905875834453515,1.4085060884013263,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,1.835799517636213,1.4700726718336596,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,1.7581485751035721,1.485697123489498,350
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,0.7170108634743684,0.6632411250919593,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,0.7506809383867761,0.6373646777780553,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,1.0735212573893589,1.1987828814904926,350
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,0,1.698271825572989,1.2391353885941823,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,1,0.990374671419312,0.7690379441715811,450
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,0,1.9270776360699806,1.742728346863601,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,1,0.9344223354808326,0.3981527895270214,400
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,0,2.1255731169467866,1.8372624188639375,350
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,1,1.2291081752376958,0.8445005758227634,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,1.2192364356756131,0.764373093129218,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,1.3208252913795204,0.8181704414156997,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,1.3621079912395317,0.8184528142717161,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,1.1899724879025932,0.7276482706519355,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,1.334046567214884,0.825430782651716,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,1.3827668589900486,0.8236243804138552,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,1.1735211084034032,0.7362921478539785,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,1.3526008762243886,0.8264706381404677,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,1.4029530825715473,0.8350570774966298,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,1.0701825485392766,0.7273307751569621,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,1.0844421892109468,0.7737764962040686,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,1.0721417741261787,0.730797088917692,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,0.6315963436013534,0.3618960428490528,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,0.6210747913551172,0.2811930876602355,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,0.6268269942199284,0.2765391145507528,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.1,0,0.9649729998684792,0.5392581397107247,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.1,1,1.0681604557825848,0.8584334645331577,450
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.2,0,0.8980748364113684,0.39112036574361664,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.2,1,1.080267864678654,0.7526891769124252,400
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.3,0,0.9478928776452789,0.520802591078342,350
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.3,1,1.1427707485316487,0.868041852321324,350
