dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n_agents,ev_cr_0.5,ev_cr_1.0,mean_shift,std_shift
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,450,0.18666666666666668,0.06666666666666667,-0.19361872974590427,0.8891402966757256
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,449,0.20044543429844097,0.0757238307349666,-0.21900184052919477,0.8928800699327263
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,450,0.14666666666666667,0.044444444444444446,-0.30962401434309655,0.8728461188843165
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,400,0.19,0.0875,-0.15387763924354483,0.86939086579156
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,400,0.21,0.0725,-0.1710491887358888,0.8764519845042268
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,400,0.1475,0.0475,-0.3139373531074568,0.8624388139883378
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,350,0.2257142857142857,0.10571428571428572,-0.08377106254557701,0.8903268092133975
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,350,0.20857142857142857,0.05714285714285714,-0.17254191393954865,0.8447109818410611
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,350,0.15428571428571428,0.04857142857142857,-0.3249290363658655,0.8904368633134223
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,450,0.22666666666666666,0.10444444444444445,-0.1079446338175087,0.9199048234194309
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,400,0.2625,0.1225,0.01891477061232294,0.8812625959653205
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,349,0.2636103151862464,0.1174785100286533,0.0008443208487498227,0.867026171528433
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,450,0.3288888888888889,0.14888888888888888,0.08844085615418878,0.9931325448264505
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,400,0.315,0.1225,0.14733936198493447,0.8317108300553916
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,350,0.3514285714285714,0.16857142857142857,0.13902566789717896,0.8441783013902073
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,0,450,0.2733333333333333,0.1,0.06617062781547074,0.8288830768332067
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,1,450,0.4666666666666667,0.12,0.3277287913374868,0.6466205967724221
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,0,400,0.3175,0.1,0.06328456584419442,0.8226970195521538
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,1,400,0.31,0.05,0.06463690934374175,0.7537583304996015
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,0,350,0.26857142857142857,0.15428571428571428,0.17670414593131556,0.784374001292759
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,1,350,0.21714285714285714,0.1,-0.14521779492687056,0.8004683739654083
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,450,0.9533333333333334,0.8133333333333334,1.5618119323727215,0.6492197491674887
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,450,0.9244444444444444,0.7733333333333333,1.4476286638407398,0.6620807806151037
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,450,0.9311111111111111,0.7755555555555556,1.4783889248108153,0.6679016674157847
