dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,mean_fdr,median_fdr,std_fdr,frac_asch
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,450,1.4007733070814392,1.0211695289734029,9.966504712161656,0.7911111111111111
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,450,1.4130110933496367,1.0164886373503457,8.990847401720094,0.8088888888888889
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,450,1.1208630389657213,1.0000635292350752,9.206528472196252,0.8355555555555556
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,400,0.21584706358258843,1.042931721408205,15.523564728488951,0.7775
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,400,0.6894491701121467,1.0041849811039074,9.497638787718259,0.795
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,400,1.246570448876263,1.000100121756707,8.867206719073948,0.835
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,350,1.0497095347181293,1.0952907741488356,8.87478356996922,0.7685714285714286
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,350,0.7382579104372445,1.006349304935275,12.287577908959467,0.8228571428571428
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,350,1.3150159814123645,1.0000009780741759,9.838839950820729,0.8314285714285714
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,450,0.4045414741867892,0.9334137128411466,98.28567086504974,0.68
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,400,0.8525012634900435,0.9641640957871449,16.78425006789423,0.7025
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,350,0.8399692433598858,0.9228433487148755,30.564378348221844,0.6571428571428571
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,450,-1.2333795750900358,-0.06562945635084784,35.00686532351209,0.27111111111111114
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,400,0.34826081476979937,-0.1999031677939489,16.86210840387089,0.325
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,350,0.8272036551247075,-0.11040326270454451,10.779681504640473,0.36857142857142855
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,0,450,-1.3256553348208806,0.7422952400368753,15.780996620772994,0.5955555555555555
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,1,450,0.03590320410651657,1.0828830449233342,11.356374679803361,0.6
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,0,400,4.475775986637992,0.7912590692073312,63.23968894939408,0.5825
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,1,400,3.1892776903570392,1.3379172525528797,19.16357547437733,0.8
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,0,350,-0.9052291343661227,1.1021974950016236,16.633760557345347,0.6685714285714286
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,1,350,1.4432132250616678,1.2371943943840842,2.8839152986670054,0.84
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,450,1.863993196875618,0.7058575247498926,23.776891302803133,0.6733333333333333
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,450,0.6526515493106725,0.7948006482396566,2.3175329588506655,0.7422222222222222
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,450,1.6878101899395719,0.8137416265608861,19.426155712275012,0.7266666666666667
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,400,2.0559422297438683,0.6522702144988564,26.653335794349335,0.645
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,400,0.7809729790864773,0.8019444182729916,1.0284539492838898,0.74
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,400,1.3065424864787982,0.8391244230697761,9.953603547857096,0.735
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,350,1.923171171588233,0.6430053482397313,26.01999571681047,0.62
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,350,0.782607474225995,0.8208321701549385,1.0626474328000042,0.7457142857142857
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,350,0.8442293574304337,0.8580772350369911,0.8000153564047002,0.7457142857142857
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,450,0.6043857196356114,0.615153222416275,0.6317814523306716,0.6622222222222223
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,400,0.6077793842936653,0.6224454095916552,0.38907419465402443,0.6625
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,350,0.5958695433800923,0.6044642546331498,0.40985984780141244,0.6514285714285715
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,450,0.6705805502476649,0.6817180996706597,0.20881682284377961,0.7933333333333333
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,400,0.6702771853845323,0.6729231993382472,0.2432134977751782,0.7575
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,350,0.684531936430197,0.6905801840480449,0.20039994899276414,0.8571428571428571
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.1,0,450,0.5936450365195588,0.5280937866804625,0.36666941807249925,0.5377777777777778
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.1,1,450,1.0161455124375014,0.7666054354581902,1.7020455206834313,0.84
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.2,0,400,0.6141223053249181,0.538315344322247,0.4102306146698348,0.5275
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.2,1,400,1.0374123059470775,0.802424776466644,11.62937299372653,0.855
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.3,0,350,0.5755846406844219,0.5692664208314822,0.3764343962961985,0.56
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.3,1,350,1.3277340734604406,0.8113724504620669,3.862395787193253,0.86
