dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,mean_ii,median_ii,std_ii,frac_internalized,frac_moscovici
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,450,0.9224979551769134,0.4524348282464331,1.5922659006616062,0.2866666666666667,0.21555555555555556
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,449,0.8013697781402528,0.48588250114654463,0.9753779844884783,0.30957683741648107,0.2383073496659243
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,450,0.69082604564187,0.4157038543910263,1.0029233302183271,0.24222222222222223,0.17333333333333334
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,400,0.8763154548056019,0.4467301959453771,1.3523313193198736,0.295,0.24
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,400,0.9617789709909492,0.5002739100696385,2.304368847096085,0.29,0.24
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,400,0.6634991188249236,0.4063817722128411,0.9385339396863903,0.2225,0.165
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,350,0.9976093523101314,0.49042452837813,1.6114760726148123,0.3342857142857143,0.28
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,350,0.8389464706384765,0.5090054310424379,1.3066339428459737,0.29714285714285715,0.24
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,350,0.6772594538622496,0.4139375246088568,0.8884782700112785,0.2342857142857143,0.1742857142857143
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,450,2.095608926296793,0.5257027023342651,16.842315091173838,0.38,0.31777777777777777
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,400,1.2793974710998102,0.45911304773462247,3.090610320580476,0.3575,0.3
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,349,1.28011568375231,0.5435123777901579,2.5131848330201247,0.3954154727793696,0.335243553008596
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,450,2.0961375017552566,1.2857536526231121,4.129909677193016,0.68,0.5977777777777777
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,400,2.2391568347440773,1.3733348579113052,2.7015696553740614,0.78,0.66
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,350,1.634662191321358,1.1699599137911152,2.207254236619944,0.7,0.6171428571428571
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,0,450,1.0832151893455595,0.46394550391173717,2.2160035663373567,0.42,0.34444444444444444
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,1,450,1.8175462346945097,1.386282249891425,1.6686932811701833,0.7266666666666667,0.6666666666666666
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,0,400,0.9340923714226519,0.6114181360737524,1.0041024733291932,0.39,0.3275
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,1,400,1.416493407104806,1.1661865935920481,0.9603628160563789,0.6175,0.56
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,0,350,6.788541502323756,0.6064234138991804,45.107339749731096,0.41714285714285715,0.2742857142857143
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,1,350,1.2725041728470432,1.0468292658144769,0.8536350473552661,0.6228571428571429,0.58
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,450,1.1886769607181185,0.9742248159508566,0.8969019574542683,0.7,0.46
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,450,1.222812541229215,1.0171126026315989,0.8891623408293557,0.6977777777777778,0.5177777777777778
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,450,1.22446119151134,0.9771906134504378,0.9824143430107242,0.7044444444444444,0.47333333333333333
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,400,1.1329878215453095,0.9596528022760662,0.8461490470957788,0.6875,0.46
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,400,1.3100931619778873,1.030172911453909,1.2550757488782154,0.715,0.5375
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,400,1.2579552196330699,0.9945776895571636,1.0374406840257302,0.7225,0.49
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,350,1.1385783736821302,0.9487224636943665,0.9099182603009252,0.7028571428571428,0.44857142857142857
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,350,1.2747900281104636,1.023472247628379,0.9647428518092358,0.7,0.5314285714285715
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,350,1.295835326672261,1.0110767195627735,1.1456460707067895,0.7028571428571428,0.5028571428571429
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,450,0.9006473445496946,0.8443941174590381,0.47040770626108935,0.5711111111111111,0.2644444444444444
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,400,0.9086092436267017,0.8613858551532108,0.4521294071619265,0.595,0.3075
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,350,0.867041415065384,0.8250591190127095,0.43148030862298936,0.5371428571428571,0.26857142857142857
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,450,0.7030710299106754,0.7267084457038355,0.27878145910324426,0.3711111111111111,0.08222222222222222
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,400,0.6802492277744738,0.6830554349968566,0.2837906012852263,0.325,0.0725
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,350,0.659678237743145,0.6880212278712976,0.263399883781888,0.32285714285714284,0.08571428571428572
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.1,0,450,0.934639331013645,0.8670814875935786,0.42053432118631434,0.6222222222222222,0.30444444444444446
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.1,1,450,1.4298085961418343,1.0444364301263263,1.4251001618212034,0.7355555555555555,0.5622222222222222
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.2,0,400,0.9904915872194338,0.853839205316396,0.6189296583370609,0.56,0.3675
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.2,1,400,1.7010744817894936,1.0547514790683472,2.0997949102209876,0.7875,0.575
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.3,0,350,0.9323837870179036,0.9002188095556294,0.4963820035826873,0.5914285714285714,0.32857142857142857
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.3,1,350,1.3104914105939285,1.0196774945329572,0.8012735697762258,0.7342857142857143,0.52
