dataset,model_key,model_condition,topology,minority_ratio,n,rcr,mean_final_stance
synthetic,llama-8b-instruct,prompt_induced,chain,0.1,150,0.0,7.0
synthetic,llama-8b-instruct,prompt_induced,chain,0.2,300,0.0,7.0
synthetic,llama-8b-instruct,prompt_induced,chain,0.3,450,0.0,7.0
synthetic,llama-8b-instruct,prompt_induced,circle,0.1,50,0.0,7.0
synthetic,llama-8b-instruct,prompt_induced,circle,0.2,100,0.0,7.0
synthetic,llama-8b-instruct,prompt_induced,circle,0.3,150,0.0,7.0
synthetic,llama-8b-instruct,prompt_induced,fc,0.1,50,0.0,7.0
synthetic,llama-8b-instruct,prompt_induced,fc,0.2,100,0.0,7.0
synthetic,llama-8b-instruct,prompt_induced,fc,0.3,150,0.0,7.0
synthetic,llama-8b-instruct,prompt_induced,star,0.1,100,0.0,7.0
synthetic,llama-8b-instruct,prompt_induced,star,0.2,200,0.0,7.0
synthetic,llama-8b-instruct,prompt_induced,star,0.3,300,0.0,7.0
synthetic,qwen-7b-instruct,prompt_induced,chain,0.1,150,0.0,7.0
synthetic,qwen-7b-instruct,prompt_induced,chain,0.2,300,0.0,7.0
synthetic,qwen-7b-instruct,prompt_induced,chain,0.3,450,0.0,7.0
synthetic,qwen-7b-instruct,prompt_induced,circle,0.1,50,0.0,7.0
synthetic,qwen-7b-instruct,prompt_induced,circle,0.2,100,0.0,7.0
synthetic,qwen-7b-instruct,prompt_induced,circle,0.3,150,0.0,7.0
synthetic,qwen-7b-instruct,prompt_induced,fc,0.1,50,0.0,7.0
synthetic,qwen-7b-instruct,prompt_induced,fc,0.2,100,0.0,7.0
synthetic,qwen-7b-instruct,prompt_induced,fc,0.3,150,0.0,7.0
synthetic,qwen-7b-instruct,prompt_induced,star,0.1,100,0.0,7.0
synthetic,qwen-7b-instruct,prompt_induced,star,0.2,200,0.0,7.0
synthetic,qwen-7b-instruct,prompt_induced,star,0.3,300,0.0,7.0
