dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,mean_srf,median_srf,std_srf
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,450,0.5371954487587283,0.6759762588534636,6.775766177273844
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,449,0.6858553018727029,0.7025085014621079,4.995599030008142
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,450,0.4254984384197003,0.6780131647713845,4.798318510093505
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,400,0.254014059543244,0.6927161184945552,8.578677965815245
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,400,0.048560024236194294,0.6969270919407942,13.430116680257392
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,400,0.758502949879034,0.6934265848690664,7.89224390055943
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,350,0.5488603251755076,0.7500045758612032,6.0866597471985715
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,350,0.364381878703256,0.7101150519204502,9.491239391730943
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,350,0.710013655080519,0.6903553267931842,8.6190100162229
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,450,3.670919107071221,0.6429811237375274,98.98652936147995
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,400,-0.28272363591702715,0.7237505245394998,23.132275197916872
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,349,0.306517788657071,0.5992548364085956,19.027760767157833
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,450,1.2367105850397981,0.5447477453910323,10.291618825875322
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,400,-0.2488243814012086,0.3055532193994465,13.051761605808784
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,350,0.23543035673919102,0.21333905483416515,12.562444595318668
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,0,450,-0.6511710716071957,0.486647591268181,10.518373490518544
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,1,450,0.25786756694806034,0.7561393050235384,10.894415864689558
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,0,400,6.77405218906501,0.7246049422267603,103.78038396739007
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,1,400,2.9358232012179646,1.2535478181831117,16.412786486441384
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,0,350,0.8280903021992024,0.6469484142933786,7.8812220628621805
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,1,350,-0.635255176130943,0.7623084940786389,5.40668718076036
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,450,0.060545114777068726,-0.02392392232108371,4.247909912228636
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,450,-0.3422715221645473,-0.06546371211910493,3.187523606161251
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,450,-0.009109236942866044,-0.08334607665269048,4.373229489743112
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,400,0.15926985551792752,0.0030350640005200264,5.124238216097832
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,400,0.018360643668113994,-0.0836483955192049,4.851989684006453
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,400,-0.15241755363963322,-0.0728516118207821,2.8749823802573298
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,350,0.14558366217718044,0.006179314489268339,4.959438281793083
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,350,-0.1539908549949626,-0.0978014634212411,2.549482998867334
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,350,-0.26634789967196015,-0.07121281250995115,2.1893671587113097
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,450,-0.007979232415867878,0.07088365751950601,0.7928638068844176
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,400,-0.00043043256986541323,0.06076032553804296,0.5579778397035546
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,350,0.034203220934562156,0.10726396320673817,0.5167914347424805
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,450,0.23709706654774834,0.25099675206849537,0.313622080740429
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,400,0.24327580325127898,0.23731610272202064,0.268346084318246
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,350,0.2323144725389551,0.2694834254976007,0.31991664220702853
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.1,0,450,0.061102584846949304,0.09994356110905675,0.48333371267851666
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.1,1,450,0.9413475618530927,0.10323756049120553,7.241857774996354
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.2,0,400,0.003938889580006182,0.07352191593538718,0.6012000355737828
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.2,1,400,-0.949462033633815,0.03512519470261742,19.530862450620013
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.3,0,350,0.10883555137668499,0.11414171820601801,0.41234385218899194
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.3,1,350,-0.3747392759901912,-0.005990893256483222,2.6057663901394097
