dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,mean_delta_cc,std_delta_cc,frac_asch,frac_moscovici,n
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,-0.6466666666666666,2.551609513838493,0.1922222222222222,0.29777777777777775,900
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,-1.0766666666666667,2.7287990846605843,0.16777777777777778,0.36777777777777776,900
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,-1.1333333333333333,2.793245822018217,0.1622222222222222,0.36333333333333334,900
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,-0.76625,2.622805928295115,0.17875,0.31875,800
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,-1.19875,2.8101153779693813,0.165,0.40875,800
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,-1.14125,2.8295403226495996,0.175,0.365,800
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,-0.72,2.7079565305648043,0.19714285714285715,0.3171428571428571,700
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,-1.2585714285714287,2.783163300847378,0.15142857142857144,0.4042857142857143,700
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,-1.2585714285714287,2.8289822933921895,0.15857142857142856,0.39571428571428574,700
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,0.05,2.1078556771172816,0.2011111111111111,0.13333333333333333,900
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,0.16,2.1182303935124716,0.21,0.12375,800
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,0.22142857142857142,1.9378480595858945,0.21142857142857144,0.11571428571428571,700
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,0.8366666666666667,2.423723031481389,0.32222222222222224,0.06666666666666667,900
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,0.3575,3.124450951767366,0.37875,0.155,800
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,-0.21428571428571427,3.445878934706363,0.31142857142857144,0.22428571428571428,700
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,-0.31777777777777777,2.642203532314049,0.2311111111111111,0.19444444444444445,900
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,-0.9533333333333334,2.9918481839083273,0.23555555555555555,0.36,900
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,-0.76125,2.4858094129478228,0.1675,0.245,800
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,-0.8,2.6291633650269817,0.18625,0.34625,800
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,-1.012857142857143,2.922055119680151,0.20142857142857143,0.30714285714285716,700
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,-1.1142857142857143,2.5210137254845786,0.13714285714285715,0.41714285714285715,700
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,-0.027777777777777776,0.46703028162060034,0.05555555555555555,0.10222222222222223,900
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,-0.09111111111111111,0.5522971109515531,0.04555555555555556,0.14555555555555555,900
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,-0.1388888888888889,0.4984853601872252,0.022222222222222223,0.15888888888888889,900
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,-0.0275,0.45469082902561386,0.045,0.09125,800
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,-0.1175,0.5533477658760357,0.04125,0.16375,800
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,-0.1425,0.47137432047153355,0.01625,0.15125,800
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,-0.017142857142857144,0.5315668022987539,0.06714285714285714,0.11428571428571428,700
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,-0.13142857142857142,0.578061503683489,0.04285714285714286,0.18,700
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,-0.18,0.5173006862551025,0.012857142857142857,0.18571428571428572,700
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,0.04555555555555556,0.45354434087066114,0.07222222222222222,0.052222222222222225,900
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,0.0425,0.4221300155165468,0.06875,0.0475,800
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,0.047142857142857146,0.48320993029396014,0.06857142857142857,0.05142857142857143,700
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,0.5555555555555556,0.8845728549997842,0.3566666666666667,0.0,900
