dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n_agents,ev_cr_0.5,ev_cr_1.0,mean_shift,std_shift
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,900,0.7577777777777778,0.6477777777777778,2.0514458344185504,2.2805020083915366
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,900,0.7311111111111112,0.6355555555555555,2.0197792647817767,2.278682241368368
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,900,0.7444444444444445,0.6388888888888888,2.169057004150919,2.3981488912987254
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,800,0.76,0.6525,2.0566882307168517,2.2776397304673974
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,800,0.7425,0.64625,2.1106857817850777,2.2883981041024333
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,800,0.74375,0.63875,2.1473178891581863,2.3996746085954426
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,700,0.7642857142857142,0.6628571428571428,2.0460560142895305,2.2317367446512946
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,700,0.7228571428571429,0.64,2.070117001298968,2.3216821378699057
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,700,0.7328571428571429,0.6371428571428571,2.1654393249192987,2.4101490009756663
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,900,0.7944444444444444,0.6988888888888889,2.494370972813613,2.4900448605092858
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,800,0.7925,0.695,2.474991484946802,2.4987424160947724
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,700,0.7785714285714286,0.6671428571428571,2.4966557075303952,2.4689220814884907
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,900,0.7822222222222223,0.7077777777777777,2.6034120682164654,2.368915215972069
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,800,0.76125,0.685,2.2650975560292976,2.2969174683713827
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,700,0.7814285714285715,0.6814285714285714,2.35161171878338,2.255804531350129
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,900,0.77,0.6577777777777778,2.2524522651477326,2.4074287204470193
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,900,0.7266666666666667,0.6477777777777778,1.9377638951652185,2.0385990393996876
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,800,0.81125,0.71625,2.339682517225973,2.3584259635474893
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,800,0.68125,0.6075,1.6932675138211641,2.259295682811945
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,700,0.7242857142857143,0.6185714285714285,2.1448409637644934,2.4276345556309025
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,700,0.75,0.6271428571428571,1.7891427786145426,2.0988354860761635
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,900,0.6222222222222222,0.2911111111111111,0.6889386060953826,0.7119181840000868
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,900,0.4922222222222222,0.2477777777777778,0.5189083591135788,0.7567128048021098
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,900,0.4411111111111111,0.15444444444444444,0.38057344040994573,0.6889369790730082
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,800,0.61125,0.31,0.6888907695130007,0.7510968286381785
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,800,0.47875,0.2325,0.502258015369904,0.7725686450428169
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,800,0.43375,0.13875,0.3749064132284217,0.6609262456601888
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,700,0.6228571428571429,0.3028571428571429,0.7107260613205267,0.7361377409973523
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,700,0.44285714285714284,0.18428571428571427,0.42548694953831345,0.719483039110746
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,700,0.42142857142857143,0.14285714285714285,0.35479918969166435,0.6719628558357473
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,900,0.6522222222222223,0.41444444444444445,0.809117874894007,0.7200057378170152
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,800,0.66,0.4425,0.8478072768763645,0.678729145598833
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,700,0.6871428571428572,0.4157142857142857,0.8382656552538678,0.7036349669279016
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,900,0.8411111111111111,0.7166666666666667,1.3828677499167759,0.8487645983305268
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,800,0.8425,0.69,1.3851008743087294,0.8209395529398349
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,700,0.85,0.7028571428571428,1.4432161904227916,0.8917290519266031
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,900,0.75,0.5377777777777778,1.0420136697469733,0.7295156194447923
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,900,0.6566666666666666,0.31666666666666665,0.8042993268895202,0.6932252265025665
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,800,0.7725,0.5375,1.065336305747264,0.7620741960352108
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,800,0.56375,0.30625,0.744353426479394,0.8700246652140566
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,700,0.6871428571428572,0.5157142857142857,0.9210828869870735,0.8744591103399363
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,700,0.5414285714285715,0.23,0.5914906091526375,0.6205979602721499
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,1800,0.8416666666666667,0.7755555555555556,2.881787436959674,2.1063134923211133
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,1800,0.8394444444444444,0.7661111111111111,2.878160516238121,2.106351137203649
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,1800,0.8388888888888889,0.7783333333333333,3.0438420786047593,2.1830715696046843
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,1600,0.845,0.775,2.904996657810798,2.111804594904116
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,1600,0.83,0.764375,2.853795872472907,2.1154984373359405
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,1600,0.835,0.77625,3.09413334282722,2.1884933251826957
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,1400,0.84,0.7707142857142857,2.895552423933663,2.101522255062144
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,1400,0.8442857142857143,0.7764285714285715,2.940832252981167,2.126355744957786
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,1400,0.8414285714285714,0.7814285714285715,3.0965819125480456,2.190464874948289
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,1800,0.8916666666666667,0.8377777777777777,3.813435207925724,2.2006394876773063
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,1600,0.901875,0.84375,3.827996654907164,2.1789212837510537
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,1400,0.8992857142857142,0.835,3.751480634946545,2.1732964517433415
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,1800,0.8988888888888888,0.8477777777777777,3.7023797957375213,2.1582774035294117
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,1600,0.8525,0.785,2.754259326599465,1.9765041933756904
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,1400,0.82,0.7428571428571429,2.4503693519274807,1.9706491885083104
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,1800,0.8516666666666667,0.76,2.870041288505968,2.086080723632205
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,1800,0.8383333333333334,0.7394444444444445,2.341311030285869,1.7539385246002397
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1600,0.8725,0.78125,2.9951269177444284,2.078307620486254
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,1600,0.858125,0.78875,2.4929498140106308,1.8392474242721895
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,1400,0.8364285714285714,0.7771428571428571,2.7599506838972525,2.076349660034191
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,1400,0.8871428571428571,0.8028571428571428,2.5163114048097706,1.7296402364019485
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,3600,0.605,0.35805555555555557,0.7521971780521648,0.912585616742111
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,3600,0.5830555555555555,0.335,0.7045842633527105,0.8978202196590339
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,3600,0.5572222222222222,0.3080555555555556,0.6636521969095457,0.9008701871349627
