dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,baseline_ev_mean,baseline_ev_std,final_ev_mean,final_ev_std,shadow_ev_mean,shadow_ev_std,shift_final,shift_shadow
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,900,2.7531482887357743,1.4835728285708014,4.2307341129473555,1.9164192656606764,4.804594123154326,1.8306904226552148,1.4775858242115811,2.0514458344185513
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,900,2.7523804872111,1.4825250492905648,3.814399061799748,1.9271743694264418,4.772159751992876,1.790965632756783,1.062018574588648,2.0197792647817763
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,900,2.7531275488806974,1.4838982105884155,3.888628070644244,2.0497358674657313,4.922184553031617,1.8289745931462025,1.1355005217635465,2.169057004150919
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,800,2.7519418063451804,1.483294184266453,4.167660191515592,1.9260810238277624,4.8086300370620325,1.7980060109685154,1.415718385170412,2.056688230716852
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,800,2.752422708314737,1.4838524997910147,3.8173487226856104,1.9278086083512753,4.8631084900998145,1.7623641171871642,1.0649260143708736,2.1106857817850777
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,800,2.7518837137785637,1.4833894982670606,3.8758283827022564,2.062682131354737,4.899201602936751,1.8147357133688398,1.1239446689236927,2.147317889158187
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,700,2.7528398561685594,1.4835730776341263,4.203672503433469,1.9037413094617563,4.79889587045809,1.8069356901963838,1.4508326472649098,2.046056014289531
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,700,2.7523367402122028,1.4830481889103404,3.6645351057938043,1.9412519823473684,4.82245374151117,1.7930348406457965,0.9121983655816015,2.0701170012989674
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,700,2.752851216975314,1.4835114124141515,3.7975979440757675,2.06530551848698,4.9182905418946135,1.8233434551657854,1.0447467271004536,2.1654393249192996
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,900,2.7533231878591353,1.4845366823982062,5.382650780327331,1.6644194739041984,5.247694160672749,1.8167456650663665,2.6293275924681954,2.4943709728136136
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,800,2.7532913999618014,1.4837846873105007,5.465767123613115,1.6457139425750718,5.2282828849086025,1.8363214235027507,2.7124757236513135,2.474991484946801
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,700,2.752729824180129,1.4834707347166782,5.4926747840592505,1.5848413481500194,5.249385531710524,1.8541031542470932,2.7399449598791215,2.496655707530395
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,900,2.752280516455785,1.4828833465307187,6.16535404916538,1.3191241684901756,5.3556925846722505,1.80780207098191,3.413073532709595,2.6034120682164654
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,800,2.752344258719107,1.4836112291367949,5.345188367093405,2.08372535834687,5.0174418147484054,1.9195541492920924,2.592844108374298,2.2650975560292985
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,700,2.752010076564801,1.483123850160974,4.976540928202012,2.311198646509306,5.103621795348181,1.8720145181493426,2.224530851637211,2.3516117187833796
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,900,2.752256927743112,1.4828668669680622,4.58223666889751,2.0596317741734644,5.004709192890844,1.8901914667409925,1.8299797411543977,2.2524522651477317
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,900,2.7520138496634092,1.4832829970990113,3.733854840265698,1.8544575999284738,4.6897777448286275,1.6667819750880917,0.9818409906022887,1.9377638951652183
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,800,2.752170259492161,1.4826523200172776,4.351929734173065,2.121536881393533,5.0918527767181345,1.7997647847363858,1.5997594746809036,2.3396825172259734
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,800,2.753608797683751,1.483782922251879,3.7250115956043,1.6854420464394517,4.446876311504915,1.661404320908963,0.9714027979205491,1.693267513821164
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,700,2.7519287248017377,1.4834215883053052,4.062910175922158,2.1274771064177727,4.8967696885662315,1.9177235176526306,1.3109814511204205,2.144840963764494
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,700,2.751970108263181,1.483473965746037,3.62774695898724,1.648110178792199,4.541112886877724,1.504520213072159,0.8757768507240589,1.789142778614543
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,900,4.3420287373617805,0.26473091352937766,5.086026519803118,0.6176617633298522,5.030967343457164,0.6306543588001756,0.7439977824413377,0.688938606095383
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,900,4.341731640008735,0.2654742136534094,4.830381740830218,0.7705273127175843,4.860639999122315,0.6875003119413553,0.4886501008214825,0.5189083591135795
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,900,4.341819189552638,0.2651706667964064,4.642299114843628,0.6266591601594118,4.722392629962584,0.6182099818749462,0.30047992529099066,0.3805734404099459
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,800,4.34164438100635,0.2654716485369273,5.0925115562028935,0.6238459077844425,5.03053515051935,0.659295231593266,0.7508671751965439,0.6888907695130007
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,800,4.341621564565454,0.2652400730001584,4.7691342017631015,0.7657992629836678,4.843879579935358,0.7026176473012534,0.42751263719764765,0.5022580153699039
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,800,4.34166700863095,0.2651696497349426,4.627591826601833,0.6334327264189978,4.716573421859372,0.5987966674509743,0.28592481797088265,0.37490641322842144
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,700,4.341917948317825,0.26522793850001336,5.116890165520865,0.6405485405238026,5.0526440096383505,0.6514232302190778,0.7749722172030404,0.7107260613205257
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,700,4.341710966561984,0.26518932019611896,4.694971945316804,0.7487487541907111,4.767197916100297,0.6501785061994519,0.35326097875482,0.4254869495383131
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,700,4.3416057036564615,0.2655615473167076,4.573104926395451,0.6266931867834277,4.6964048933481255,0.606462583892859,0.23149922273898937,0.354799189691664
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,900,4.342119139258616,0.26510119700350415,5.371053712961074,0.6381686974796834,5.151237014152621,0.6641085228507491,1.0289345737024584,0.8091178748940058
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,800,4.341675325011598,0.26556438511864944,5.391914437929959,0.608137120454645,5.1894826018879625,0.6285604381613806,1.0502391129183613,0.8478072768763649
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,700,4.34162054833932,0.26556860554145595,5.384596127927164,0.6256329833193481,5.179886203593187,0.6456939420551324,1.0429755795878437,0.838265655253867
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,900,4.34160963523613,0.2645754899629603,6.469402767653328,0.5156226064782274,5.724477385152905,0.8038739826290646,2.1277931324171977,1.382867749916775
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,800,4.341499990050595,0.26572098388631543,6.283341997660164,0.610024976162665,5.726600864359324,0.7954092454734054,1.9418420076095693,1.385100874308729
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,700,4.341809703815036,0.26558349601970127,6.268448919272097,0.5685872685986654,5.785025894237828,0.8321140386166928,1.9266392154570608,1.4432161904227918
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,900,4.341920489047306,0.2650185756150511,5.577185144975724,0.654710720868202,5.38393415879428,0.6760907035106326,1.2352646559284182,1.0420136697469742
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,900,4.341529149480472,0.2652642600697276,5.300471044436831,0.5986990904036413,5.145828476369992,0.5901711791010268,0.9589418949563591,0.8042993268895202
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,800,4.341564442289309,0.2654073374029191,5.7145334849192295,0.6742466986393686,5.406900748036573,0.7249017358937767,1.3729690426299204,1.0653363057472642
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,800,4.3418975439777885,0.265281667330556,5.371928174334189,0.7561169708309337,5.086250970457182,0.7879166983889946,1.0300306303564009,0.7443534264793934
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,700,4.341772487274793,0.2653648776324924,5.513876057096163,0.7374002602739415,5.262855374261866,0.7819362388367955,1.1721035698213704,0.9210828869870733
