dataset,model_key,model_condition,topology,minority_ratio,n,rcr,mean_final_stance
harmbench_contextual,qwen-7b-instruct,model_induced,chain,0.1,300,0.07333333333333333,6.56
harmbench_contextual,qwen-7b-instruct,model_induced,chain,0.2,600,0.05333333333333334,6.68
harmbench_contextual,qwen-7b-instruct,model_induced,chain,0.3,900,0.03777777777777778,6.773333333333333
harmbench_contextual,qwen-7b-instruct,model_induced,circle,0.1,100,0.03,6.82
harmbench_contextual,qwen-7b-instruct,model_induced,circle,0.2,200,0.0,7.0
harmbench_contextual,qwen-7b-instruct,model_induced,circle,0.3,300,0.006666666666666667,6.96
harmbench_contextual,qwen-7b-instruct,model_induced,fc,0.1,100,0.04,6.75
harmbench_contextual,qwen-7b-instruct,model_induced,fc,0.2,200,0.015,6.91
harmbench_contextual,qwen-7b-instruct,model_induced,fc,0.3,300,0.0033333333333333335,6.98
harmbench_contextual,qwen-7b-instruct,model_induced,star,0.1,200,0.055,6.67
harmbench_contextual,qwen-7b-instruct,model_induced,star,0.2,400,0.0175,6.895
harmbench_contextual,qwen-7b-instruct,model_induced,star,0.3,600,0.01,6.94
harmbench_copyright,qwen-7b-instruct,model_induced,chain,0.1,300,0.0033333333333333335,6.98
harmbench_copyright,qwen-7b-instruct,model_induced,chain,0.2,600,0.0016666666666666668,6.99
harmbench_copyright,qwen-7b-instruct,model_induced,chain,0.3,900,0.0011111111111111111,6.993333333333333
harmbench_copyright,qwen-7b-instruct,model_induced,circle,0.1,100,0.0,7.0
harmbench_copyright,qwen-7b-instruct,model_induced,circle,0.2,200,0.0,7.0
harmbench_copyright,qwen-7b-instruct,model_induced,circle,0.3,300,0.0,7.0
harmbench_copyright,qwen-7b-instruct,model_induced,fc,0.1,100,0.0,7.0
harmbench_copyright,qwen-7b-instruct,model_induced,fc,0.2,200,0.0,7.0
harmbench_copyright,qwen-7b-instruct,model_induced,fc,0.3,300,0.0,7.0
harmbench_copyright,qwen-7b-instruct,model_induced,star,0.1,200,0.0,7.0
harmbench_copyright,qwen-7b-instruct,model_induced,star,0.2,400,0.0,7.0
harmbench_copyright,qwen-7b-instruct,model_induced,star,0.3,600,0.0,7.0
harmbench_standard,qwen-7b-instruct,model_induced,chain,0.1,600,0.03666666666666667,6.78
harmbench_standard,qwen-7b-instruct,model_induced,chain,0.2,1200,0.02,6.88
harmbench_standard,qwen-7b-instruct,model_induced,chain,0.3,1800,0.012777777777777779,6.923333333333333
harmbench_standard,qwen-7b-instruct,model_induced,circle,0.1,200,0.04,6.76
harmbench_standard,qwen-7b-instruct,model_induced,circle,0.2,400,0.0025,6.985
harmbench_standard,qwen-7b-instruct,model_induced,circle,0.3,600,0.0,7.0
harmbench_standard,qwen-7b-instruct,model_induced,fc,0.1,200,0.025,6.85
harmbench_standard,qwen-7b-instruct,model_induced,fc,0.2,400,0.005,6.97
harmbench_standard,qwen-7b-instruct,model_induced,fc,0.3,600,0.01,6.94
harmbench_standard,qwen-7b-instruct,model_induced,star,0.1,400,0.095,6.43
harmbench_standard,qwen-7b-instruct,model_induced,star,0.2,800,0.02,6.88
harmbench_standard,qwen-7b-instruct,model_induced,star,0.3,1200,0.01,6.94
moral_stories,qwen-7b-instruct,model_induced,chain,0.1,1200,0.0008333333333333334,6.995
moral_stories,qwen-7b-instruct,model_induced,chain,0.2,2400,0.0020833333333333333,6.9875
moral_stories,qwen-7b-instruct,model_induced,chain,0.3,3600,0.0019444444444444444,6.988333333333333
moral_stories,qwen-7b-instruct,model_induced,circle,0.1,400,0.0075,6.955
moral_stories,qwen-7b-instruct,model_induced,circle,0.2,800,0.0,7.0
moral_stories,qwen-7b-instruct,model_induced,circle,0.3,1200,0.0,7.0
moral_stories,qwen-7b-instruct,model_induced,fc,0.1,400,0.0425,6.745
moral_stories,qwen-7b-instruct,model_induced,fc,0.2,800,0.0,7.0
moral_stories,qwen-7b-instruct,model_induced,fc,0.3,1200,0.0,7.0
moral_stories,qwen-7b-instruct,model_induced,star,0.1,800,0.005,6.97
moral_stories,qwen-7b-instruct,model_induced,star,0.2,1600,0.00125,6.9925
moral_stories,qwen-7b-instruct,model_induced,star,0.3,2400,0.0,7.0
synthetic,llama-8b-instruct,model_induced,chain,0.1,150,0.0,7.0
synthetic,llama-8b-instruct,model_induced,chain,0.2,300,0.0,7.0
synthetic,llama-8b-instruct,model_induced,chain,0.3,450,0.0,7.0
synthetic,llama-8b-instruct,model_induced,circle,0.1,50,0.0,7.0
synthetic,llama-8b-instruct,model_induced,circle,0.2,100,0.0,7.0
synthetic,llama-8b-instruct,model_induced,circle,0.3,150,0.0,7.0
synthetic,llama-8b-instruct,model_induced,fc,0.1,50,0.0,7.0
synthetic,llama-8b-instruct,model_induced,fc,0.2,100,0.0,7.0
synthetic,llama-8b-instruct,model_induced,fc,0.3,150,0.0,7.0
synthetic,llama-8b-instruct,model_induced,star,0.1,100,0.0,7.0
synthetic,llama-8b-instruct,model_induced,star,0.2,200,0.0,7.0
