dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,mean_srf,median_srf,std_srf
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,900,-21.459972805129834,-0.00019172014732215208,414.63273246135475
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,900,-32.0315206958351,0.04265073500773169,693.9669926264083
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,900,18.428433479252725,-2.8199059157772165e-05,938.9048848998231
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,800,-32.34768021521502,-4.092185296755907e-05,709.0966598951985
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,800,22.124015457841224,0.028349346621850346,588.2488858855542
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,800,-7.613351439344077,0.0024118236341821382,593.8372617643614
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,700,-23.604863404609382,0.0022715589851247005,522.2986179594055
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,700,-39.424385986583125,0.03214221853083678,979.3750458140273
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,700,-92.954483097117,0.010265583079443138,2158.5547956694345
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,900,-5.267483490667307,0.0022712469886037633,78.24568612776952
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,800,-0.1960335406813175,0.0009557759257363148,133.67696638410786
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,700,-0.6256970391258094,0.004299227939897963,11.390895730207578
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,900,0.06982068266726199,0.04367530223387947,12.889096263397805
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,800,-27.144420094760644,0.12066371092543532,743.2550989311445
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,700,2.192456133471039,0.2621086877509877,833.0691621574795
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,900,-26.062388245277603,0.002939604491163359,247.76809226295862
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,900,5.303592101004029,0.1813064912321508,45.453313146755676
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,800,0.5772382768357693,-0.009128425630189424,359.57302407925425
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,800,-1.7799313655511084,0.09605316576007322,22.895336494628737
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,700,-33.739138182408425,0.02119018554521013,1415.849055710084
harmbench_contextual,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,700,-8.361212018797328,0.1559844052904074,72.61908625302769
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,900,0.004721410873348515,-0.0025139403421947752,7.7323736178739235
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,900,-0.04933263039970239,0.002588860719649204,5.961553111796102
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,900,-0.06285737028368181,-0.01927620839999653,6.190833396362339
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,800,-0.10615086198548339,-0.004905290305906631,4.715811134446541
