dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,mean_rho,std_rho,n
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,fc,0.2,0,0.2657368210969594,0.5059855178797927,1600
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,0,0.6525052613957288,0.9841871754569983,1600
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,1,1.772358866923425,1.2140077667567053,1600
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,fc,0.2,0,0.7439052928347129,0.9668185833524404,1600
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,0,1.0809553532263934,1.0732701254784789,1600
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,1,2.396197045929217,1.0563672443611318,1600
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,fc,0.2,0,0.36382043843491074,0.651725348892547,1600
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,0,0.8965991378196563,1.042037613197103,1600
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,1,2.032576396535784,1.3741615750843337,1600
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,0.8309386307039798,1.0033564631524707,1600
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1.4110530330045328,1.0690496189494467,1600
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,2.449364226312329,0.8872467628502146,1600
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,fc,0.2,0,0.5570762695808409,0.1397086449715849,400
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,0,0.7835436786799426,0.4550809442133424,400
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,1,0.9515080378389723,0.6752704231514709,400
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,fc,0.2,0,0.5726468667368738,0.17664021281278328,400
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,0,0.8051603057252694,0.3807364114741931,400
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,1,1.0102787429274653,0.7206661386178598,400
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,fc,0.2,0,0.6773818715220071,0.3155390649639319,400
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,0,1.0359043750369008,0.5688255079446416,400
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,1,1.1434300742849624,0.8707051770131429,400
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,0.7378594327515586,0.4730795900753236,400
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1.047688756594673,0.582136470719824,400
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,1.195207321934089,0.8384136612078871,400
