dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n_agents,ev_cr_0.5,ev_cr_1.0,mean_shift,std_shift
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,fc,0.2,0,1600,0.87375,0.82125,3.1755874628038807,2.077953455470507
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,0,1600,0.906875,0.849375,3.855033878777816,2.193102298306427
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,1,1600,0.885625,0.803125,2.7710173016702613,1.8417456916983597
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,fc,0.2,0,1600,0.8275,0.75375,2.6067669970816225,2.027830887597271
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,0,1600,0.86625,0.794375,3.1506117696643856,2.095195412325759
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,1,1600,0.866875,0.815,2.594298866601446,1.7880171828096254
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,fc,0.2,0,1600,0.9,0.848125,3.368087045288452,2.110116595580775
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,0,1600,0.869375,0.79625,3.4363697947121903,2.239395749534663
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,1,1600,0.86,0.7775,2.5422853707698803,1.8769354327573426
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,1600,0.866875,0.809375,2.8718729488981825,1.9942909295292526
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1600,0.844375,0.75875,2.8675336383733274,2.105955178470397
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,1600,0.86125,0.788125,2.450177926474544,1.776540944252964
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,fc,0.2,0,400,0.875,0.615,1.2458018338366148,0.6746611081767766
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,0,400,0.8025,0.6075,1.2031839561723376,0.6830343984574543
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,1,400,0.8,0.58,1.0832706754276418,0.6951821264792686
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,fc,0.2,0,400,0.8725,0.6125,1.2069683496032284,0.6204160628227987
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,0,400,0.83,0.61,1.2075935897533707,0.7378008499071217
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,1,400,0.76,0.5025,1.0640727351129524,0.6802260592806225
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,fc,0.2,0,400,0.9575,0.8475,1.6217701500077384,0.6228143757246841
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,0,400,0.935,0.76,1.5628703792708045,0.6675337144833311
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,1,400,0.92,0.7275,1.3374391665962277,0.5742338101289591
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,400,0.95,0.79,1.5970149497837935,0.639428556046872
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,400,0.925,0.8075,1.5878985022553485,0.7516691788434818
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,400,0.9,0.695,1.3225724594949315,0.6667909605632137
