dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,mean_fdr,median_fdr,std_fdr,frac_asch
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,fc,0.2,0,1600,0.3910518779782577,0.17557607857978907,1.405237311657295,0.326875
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,0,1600,0.45286229762889024,0.061515110717779,4.211162471945383,0.226875
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,1,1600,-2.108310678213731,0.27274295932019543,41.35361990391207,0.395
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,fc,0.2,0,1600,0.563742112729601,0.1192116886967577,10.58607041305116,0.3175
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,0,1600,0.8075156173326693,0.15102005409759459,13.755112673386995,0.3525
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,1,1600,8.61383869625071,0.6088871842018571,102.43471960139367,0.57
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,fc,0.2,0,1600,0.3447148012107927,0.17536276867027017,0.8585851897749663,0.310625
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,0,1600,3.727288687631328,0.04350796452354094,79.55697652113324,0.28875
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,1,1600,0.2903286804026861,0.37298184759881187,14.136861072495963,0.456875
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,1600,0.5145150748034216,0.22372728079939014,24.527389037952577,0.348125
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1600,-0.5032192558432886,0.2139543015841287,35.94629979744984,0.383125
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,1600,1.1784056959762679,0.7083177000199281,9.13713229576222,0.59
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,fc,0.2,0,400,0.6826332677962668,0.7239346874761953,0.251071345061388,0.76
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,0,400,0.6212913595178771,0.5439676602898639,0.602976370222356,0.555
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,1,400,0.843214280066723,0.6959962896053161,0.9218492328133163,0.76
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,fc,0.2,0,400,0.6869513599897757,0.6932805423893288,0.29046765278264475,0.7175
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,0,400,0.5919430063622617,0.5825922270958726,0.38189560746845513,0.59
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,1,400,0.26169259401846734,0.715336782925845,3.8140448752314886,0.755
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,fc,0.2,0,400,0.6280253744589015,0.6401533954658909,0.22192724502635308,0.6875
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,0,400,0.6072057923758277,0.5512300122465108,0.42365148488940874,0.58
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,1,400,0.642500348193169,0.7066896780633298,0.5724707446838676,0.72
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,400,0.6527435990230185,0.6592466382807205,0.21458674115476775,0.7375
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,400,0.6060923007351262,0.5728058180249975,0.4214407113870525,0.6075
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,400,-0.1829289361870179,0.7478059403791018,11.729186329900998,0.7625
