dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,mean_ii,median_ii,std_ii,frac_internalized,frac_moscovici
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,fc,0.2,0,1600,1.4963978470589265,0.9319893946373766,5.64272720290946,0.63,0.3175
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,0,1600,4.946669418379454,1.0004366265967564,37.67459662113335,0.83375,0.54875
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,1,1600,20.899980400591144,1.264956559050351,87.8912047810072,0.828125,0.7525
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,fc,0.2,0,1600,77.32709097838686,0.9858681886929437,1072.202067261161,0.654375,0.426875
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,0,1600,62.28774993464988,1.0831470154858391,288.0634317360724,0.836875,0.684375
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,1,1600,22.59885304989436,1.402336878125641,73.72625428755116,0.874375,0.796875
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,fc,0.2,0,1600,4.1786351307398215,0.9922875728863564,38.64628982827007,0.725,0.394375
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,0,1600,33.03092543390496,1.018654619005734,163.58173938409257,0.845625,0.65625
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,1,1600,33.66998012537836,1.4332250670813826,180.84614577394635,0.83375,0.731875
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,1600,53.36646748015282,1.005183525634029,440.8248710341011,0.755625,0.545
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1600,87.9281483326188,1.3861943286419707,433.16843786088543,0.884375,0.716875
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,1600,22.850982298095616,1.5811239276548466,81.4671322314819,0.84875,0.785625
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,fc,0.2,0,400,0.5955268571020261,0.5787282668981527,0.3276844121638878,0.2675,0.0525
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,0,400,0.9100104970850106,0.7666918013771584,0.6303979935852393,0.46,0.325
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,1,400,1.6173059710374296,1.0502613715015108,1.541188301862433,0.76,0.555
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,fc,0.2,0,400,0.5614082786762163,0.5847699185303556,0.3158825314429855,0.1375,0.0475
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,0,400,1.0216296656699853,0.7792358407108736,0.8462579910941064,0.4875,0.365
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,1,400,1.6644614861674096,1.1565546295252127,1.8496055231221882,0.6575,0.5925
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,fc,0.2,0,400,0.6586485358138896,0.6931261313825781,0.241999976715476,0.285,0.06
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,0,400,1.0104789629879958,0.9149240021442934,0.622172951834622,0.6275,0.405
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,1,400,1.238279196412983,0.9611385268249157,0.8272639693842424,0.6425,0.4675
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,400,0.6454188209375539,0.6927527061200507,0.2509410391596366,0.295,0.05
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,400,1.0122143094737075,0.9267675552421617,0.4186906937357548,0.7125,0.4
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,400,1.412211399874335,1.112402292866001,1.3347386375782448,0.765,0.595
