dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,baseline_ev_mean,baseline_ev_std,final_ev_mean,final_ev_std,shadow_ev_mean,shadow_ev_std,shift_final,shift_shadow
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,fc,0.2,0,1600,1.7750248204335437,1.1481224261635752,6.305026502422513,1.2400053000500904,4.950612283237424,1.8701512209631195,4.53000168198897,3.1755874628038807
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,0,1600,1.7749651250981902,1.1476427245580472,5.711181865773942,1.7428788321889097,5.629999003876006,1.6838135593778527,3.936216740675752,3.8550338787778156
harmbench_standard,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,1,1600,1.775412448697283,1.1482316989036572,3.6149931020959447,1.821008557679063,4.546429750367544,1.6113658068030248,1.8395806533986616,2.771017301670261
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,fc,0.2,0,1600,1.7752474473687654,1.148646786497675,5.170846661630919,2.1346165383857327,4.3820144444503875,1.8935489796988014,3.3955992142621536,2.606766997081622
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,0,1600,1.7748580819644935,1.1474346142774237,4.423338852181131,2.189801547861489,4.925469851628878,1.8027619947025755,2.6484807702166377,3.1506117696643847
harmbench_standard,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,1,1600,1.7751270569398507,1.147869793913071,2.862457146524008,1.795681124212878,4.369425923541297,1.5644194548826602,1.0873300895841573,2.594298866601447
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,fc,0.2,0,1600,1.8397949159327536,1.1706679032753726,6.113164131029672,1.423758678696357,5.207881961221207,1.7889272126879674,4.273369215096919,3.3680870452884535
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,0,1600,1.8394784242294537,1.1702407415563807,4.923155886463684,2.1359053486095494,5.275848218941644,1.8571103999744807,3.0836774622342302,3.4363697947121903
harmbench_standard,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,1,1600,1.8393167894210694,1.170463158741181,3.31057789216006,1.8453775914964368,4.381602160190949,1.6223749302377304,1.4712611027389906,2.5422853707698803
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,1600,1.8390609692185131,1.1704574016919067,4.9078081754693645,2.2541274334004764,4.710933918116695,1.8374843898206155,3.068747206250851,2.871872948898182
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1600,1.839639962835244,1.1706528164540484,3.6397313083040306,2.211018843459849,4.707173601208572,1.904868483934353,1.8000913454687866,2.867533638373328
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,1600,1.83991737335594,1.1703741821945952,2.62117085299573,1.6182383699694252,4.290095299830484,1.4985667786864358,0.7812534796397899,2.4501779264745442
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,fc,0.2,0,400,4.285617929823399,0.69780290348183,6.127551384735634,0.2784073631448897,5.531419763660014,0.5618536253916484,1.841933454912235,1.245801833836615
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,0,400,4.285658244465401,0.6973407532560651,5.781661827033044,0.4349285409119553,5.4888422006377375,0.5308210933039659,1.4960035825676439,1.203183956172337
synthetic,qwen-7b-instruct,lenient:lenient,model_induced,star,0.2,1,400,4.28575789249499,0.6976032056502902,5.388382486581257,0.6262244651550183,5.369028567922633,0.5451749871573197,1.102624594086267,1.0832706754276424
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,fc,0.2,0,400,4.28576212841826,0.6973237210279726,6.109576241430869,0.28288210889640164,5.492730478021489,0.5403621373228698,1.8238141130126087,1.2069683496032289
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,0,400,4.285139723354672,0.6974524253919706,5.778884104173144,0.44547728503518824,5.492733313108042,0.6005387965583981,1.4937443808184714,1.2075935897533698
synthetic,qwen-7b-instruct,lenient:rigid,model_induced,star,0.2,1,400,4.285821229356531,0.6984138886807082,5.376030682520927,0.6340665000617722,5.349893964469484,0.5752711309338973,1.0902094531643955,1.0640727351129522
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,fc,0.2,0,400,3.862539567147516,0.6753494494840265,6.049868084962302,0.2511860353850412,5.484309717155254,0.5031412231548426,2.187328517814786,1.621770150007738
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,0,400,3.8624352122325187,0.6748393412664775,5.583991070477995,0.523917248475445,5.4253055915033235,0.6316541654993663,1.7215558582454764,1.5628703792708047
synthetic,qwen-7b-instruct,rigid:lenient,model_induced,star,0.2,1,400,3.863161135679261,0.6748970539819615,5.274683391744669,0.6726327595815443,5.200600302275489,0.4717322501982086,1.4115222560654082,1.3374391665962277
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,400,3.8617592702959653,0.6753198120382985,5.986032010058836,0.37806424131212496,5.458774220079758,0.5256345251692293,2.124272739762871,1.5970149497837927
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,400,3.8631543960216295,0.674397057290394,5.572952184401372,0.5842095008660052,5.451052898276978,0.6414824487934583,1.7097977883797428,1.5878985022553485
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,400,3.8619178408715795,0.6753055998462562,5.190711419188575,0.7186261764885785,5.184490300366511,0.5051732727833337,1.3287935783169953,1.322572459494931
